BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterRF-CF,3,0,2,0,1,0,0,.268,.801
DubónCF,3,0,0,0,0,1,2,.143,.317
c-VoslerPH-3B,1,0,0,0,0,1,1,.276,.870
Ruf1B,4,0,0,0,0,0,2,.172,.475
FloresDH,3,1,1,0,1,2,0,.269,.758
"Crawford, BraSS",3,0,0,0,1,2,1,.215,.623
Estrada2B,4,0,2,0,0,0,3,.247,.662
Padlo3B,2,0,0,0,0,0,2,.000,.000
"a-Gonzalez, LPH-LF-RF",1,0,1,1,0,0,0,.300,.766
"Williams, LLF-3B-LF",4,0,0,0,0,1,4,.250,.583
BartC,2,0,0,0,0,0,1,.196,.752
b-PedersonPH,1,0,0,0,0,1,0,.346,1.106
CasaliC,0,0,0,0,0,0,0,.167,.427
,31,1,6,1,3,8,16,,
