BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF-RF,5,1,1,1,1,0,3,.258,.830
BichetteSS,5,0,1,0,0,2,2,.255,.719
GuerreroDH,5,0,0,0,0,3,3,.266,.854
KirkC,3,2,0,0,1,0,1,.320,.932
Gurriel Jr.LF,3,0,1,0,1,0,1,.284,.750
1-ZimmerPR-CF,0,1,0,0,0,0,0,.109,.427
"a-Hernández, TPH",1,0,0,0,0,1,1,.251,.734
"Tapia, RRF-LF",4,0,2,1,0,1,3,.260,.651
b-MorenoPH,1,0,0,0,0,0,1,.316,.675
"Chapman, M3B",5,1,2,0,0,2,3,.226,.718
Espinal2B,4,0,2,2,1,0,1,.268,.713
Biggio1B,4,0,1,1,1,2,4,.211,.743
,40,5,10,5,5,11,23,,
