BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF-CF",4,0,0,0,0,0,3,.225,.672
Bell1B,4,0,1,0,0,0,3,.318,.913
"Cruz, NDH",4,0,1,0,0,1,1,.241,.691
"Hernandez, YLF-RF",4,0,0,0,0,0,1,.266,.715
Franco3B,4,1,1,0,0,0,0,.242,.632
Adrianza2B-LF,3,1,1,0,1,1,1,.182,.450
"García, LSS",4,0,1,1,0,0,2,.319,.790
BarreraC,2,0,0,0,0,1,0,.250,.500
"a-Ruiz, KPH-C",2,0,2,0,0,0,0,.261,.688
RoblesCF,2,0,1,0,0,1,0,.236,.608
"b-Soto, JPH",0,0,0,0,1,0,0,.226,.833
"1-Escobar, APR-2B",0,0,0,0,0,0,0,.223,.555
c-HernándezPH,1,0,0,0,0,0,1,.255,.634
,34,2,8,1,2,4,12,,
