BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,1,1,0,1,2,0,.271,.887
TurnerSS,4,3,2,2,0,0,1,.303,.835
PriceP,0,0,0,0,0,0,0,.000,.000
"Freeman, F1B",5,1,4,2,0,0,0,.311,.897
"Smith, W.D.DH-C",4,0,2,1,1,1,1,.261,.804
"Turner, J3B",3,0,0,0,2,2,3,.247,.717
"Thompson, TLF",3,0,0,0,0,0,3,.228,.717
a-MuncyPH-2B,1,0,0,0,1,0,3,.165,.630
Alberto2B,4,1,1,0,0,0,3,.222,.578
LambLF,1,0,0,0,0,0,1,.250,1.004
BellingerCF,3,0,0,0,1,1,4,.209,.654
"Barnes, AC",3,0,0,1,0,0,1,.163,.617
b-LuxPH-SS,1,0,0,0,0,1,0,.302,.794
,36,6,10,6,6,7,20,,
