BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,5,1,1,1,0,0,1,.226,.608
"Murphy, SDH",4,0,1,0,0,1,0,.258,.788
1-NeusePR-DH,0,1,0,0,0,0,0,.216,.572
"Brown, SRF",5,0,2,1,0,2,2,.224,.708
"Garcia, Der1B",3,0,0,0,1,3,3,.303,.940
c-VogtPH-1B,1,0,0,0,0,0,1,.169,.578
Machín3B,4,1,2,0,1,1,1,.221,.575
LangeliersC,5,1,2,3,0,2,4,.232,.759
"Thomas, CodLF",2,0,1,0,0,0,1,.500,1.000
a-PachePH-CF,1,1,1,0,2,0,0,.161,.449
"Allen, NSS",4,0,0,0,0,1,4,.206,.551
StevensonCF,2,0,1,0,0,1,0,.189,.524
b-PinderPH-LF,2,0,0,0,0,1,1,.232,.640
,38,5,11,5,4,12,18,,
