BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,6,2,4,2,0,0,1,.295,.759
"Rosario, ASS",5,1,1,0,1,0,4,.282,.720
"Ramírez, Jo3B",4,1,1,2,1,0,2,.281,.884
"Naylor, JDH",5,0,2,1,0,1,2,.257,.763
2-PalaciosPR-DH,0,0,0,0,0,0,0,.232,.579
"a-Freeman, TPH-DH",1,0,0,0,0,1,0,.246,.611
"Gonzalez, ORF",3,0,1,1,1,0,2,.294,.792
Gimenez2B,5,2,1,0,0,0,3,.299,.845
"Miller, O1B",3,2,0,0,2,1,2,.246,.652
HedgesC,1,0,0,1,1,0,0,.177,.526
1-BensonPR,0,1,0,0,0,0,0,.180,.455
MaileC,2,0,0,0,0,1,2,.218,.631
StrawCF,4,1,1,2,1,1,2,.218,.564
,39,10,11,9,7,5,20,,
