BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeRF,2,0,0,0,3,1,2,.316,1.125
Rizzo1B,3,0,0,0,1,1,3,.224,.827
3-GonzalezPR,0,1,0,0,0,0,0,.193,.597
Torres2B,3,0,0,0,2,1,5,.252,.752
Donaldson3B,5,1,3,1,0,0,4,.229,.707
StantonDH,4,1,3,2,0,0,1,.215,.763
2-LocastroPR-DH,0,1,0,0,0,0,0,.154,.522
"Cabrera, OLF",3,1,0,0,1,1,2,.225,.671
BaderCF,3,0,1,1,0,1,1,.261,.678
Kiner-FalefaSS,4,0,1,0,0,0,1,.264,.643
HigashiokaC,2,0,1,1,0,1,0,.201,.589
1-PerazaPR,0,0,0,0,0,0,0,.250,.712
TrevinoC,1,0,0,0,0,0,0,.255,.685
,30,5,9,5,7,6,19,,
