BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenDH,4,0,0,0,0,1,1,.238,.700
AdamesSS,4,0,0,0,0,2,0,.241,.782
YelichLF,4,0,0,0,0,2,0,.255,.738
RenfroeRF,4,1,1,1,0,2,0,.253,.810
Brosseau3B,2,0,1,0,0,1,0,.271,.798
"a-Wong, KoPH-2B",1,0,0,0,0,1,0,.254,.773
"Urías, L2B-3B",3,0,1,0,0,0,1,.229,.713
Hiura1B,1,0,1,0,1,0,0,.232,.788
b-TellezPH-1B,1,0,0,0,0,0,1,.222,.774
CaratiniC,3,0,0,0,0,1,3,.197,.646
"Taylor, TCF",2,0,1,0,0,0,1,.228,.720
c-PetersonPH,1,0,0,0,0,0,0,.243,.718
MitchellCF,0,0,0,0,0,0,0,.267,.696
,30,1,5,1,1,10,7,,
