Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Buffalo Bisons,Triple-A,Bases Empty,16,14,,5,0,0,2,2,2,1,,,0,.357,.438,.786,1.224
Dunedin Blue Jays,Class A Advanced,Bases Empty,11,9,,3,1,0,0,0,1,2,,,1,.333,.455,.444,.899
Buffalo Bisons,Triple-A,Runner at 1st,11,9,,3,1,0,0,1,2,1,,,0,.333,.455,.444,.899
Dunedin Blue Jays,Class A Advanced,Runner at 1st,4,4,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Buffalo Bisons,Triple-A,Runners at 1st & 2nd,1,1,,1,0,0,1,3,0,0,,,0,1.000,1.000,4.000,5.000
Dunedin Blue Jays,Class A Advanced,Runners at 1st & 3rd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Buffalo Bisons,Triple-A,Runner at 2nd,5,5,,1,0,0,0,1,0,0,,,0,.200,.200,.200,.400
Buffalo Bisons,Triple-A,Runner at 3rd,1,1,,1,0,0,0,1,0,0,,,0,1.000,1.000,1.000,2.000
Dunedin Blue Jays,Class A Advanced,Runner at 3rd,1,1,,1,0,0,0,1,0,0,,,0,1.000,1.000,1.000,2.000
Buffalo Bisons,Triple-A,Scoring Position,7,7,,3,0,0,1,5,0,0,,,0,.429,.429,.857,1.286
Dunedin Blue Jays,Class A Advanced,Scoring Position,2,2,,1,0,0,0,1,0,0,,,0,.500,.500,.500,1.000
