Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,3 Teams,,Minors,3B,7,6,50.0,14,3,10,1,1,,.929
2016,3 Teams,,Minors,3B,7,6,50.0,14,3,10,1,1,,.929
2016,4 Teams,,Minors,DH,8,8,0.0,0,0,0,0,0,,.000
2016,4 Teams,,Minors,DH,8,8,0.0,0,0,0,0,0,,.000
2016,GCL Astros,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2016,Lancaster JetHawks,CAL,A(Adv),3B,2,2,12.0,2,0,2,0,0,,1.000
2016,Lancaster JetHawks,CAL,A(Adv),DH,2,2,0.0,0,0,0,0,0,,.000
2016,Corpus Christi Hooks,TEX,AA,3B,3,3,26.0,6,0,5,1,0,,.833
2016,Corpus Christi Hooks,TEX,AA,DH,2,2,0.0,0,0,0,0,0,,.000
2016,Fresno Grizzlies,PCL,AAA,3B,2,1,12.0,6,3,3,0,1,,1.000
2016,Fresno Grizzlies,PCL,AAA,LF,1,1,8.0,0,0,0,0,0,,.000
2016,Fresno Grizzlies,PCL,AAA,DH,2,2,0.0,0,0,0,0,0,,.000
2018,Corpus Christi Hooks,TEX,AA,1B,3,2,18.0,19,18,0,1,3,,.947
2018,Corpus Christi Hooks,TEX,AA,3B,1,1,5.0,1,1,0,0,0,,1.000
2018,Corpus Christi Hooks,TEX,AA,DH,2,2,0.0,0,0,0,0,0,,.000
,FCL Astros Blue,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,Fresno Grizzlies,CAL,AAA,3B,2,1,12.0,6,3,3,0,1,,1.000
,Fresno Grizzlies,CAL,AAA,LF,1,1,8.0,0,0,0,0,0,,.000
,Fresno Grizzlies,CAL,AAA,DH,2,2,0.0,0,0,0,0,0,,.000
,Corpus Christi Hooks,TEX,AA,1B,3,2,18.0,19,18,0,1,3,,.947
,Corpus Christi Hooks,TEX,AA,3B,4,4,31.0,7,1,5,1,0,,.857
,Corpus Christi Hooks,TEX,AA,DH,4,4,0.0,0,0,0,0,0,,.000
,Lancaster JetHawks,CAL,A+,3B,2,2,12.0,2,0,2,0,0,,1.000
,Lancaster JetHawks,CAL,A+,DH,2,2,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,1B,3,2,18.0,19,18,0,1,3,,.947
,3 Teams,,Minors,3B,8,7,55.0,15,4,10,1,1,,.933
,1 Teams,,Minors,LF,1,1,8.0,0,0,0,0,0,,.000
,4 Teams,,Minors,DH,10,10,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,1B,3,2,18.0,19,18,0,1,3,,.947
,3 Teams,,Minors,3B,8,7,55.0,15,4,10,1,1,,.933
,1 Teams,,Minors,LF,1,1,8.0,0,0,0,0,0,,.000
Career Minors,4 Teams,,,DH,10,10,0.0,0,0,0,0,0,,.000
