Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Toronto Blue Jays,MLB,First Inning,55,50,3,17,5,0,0,10,5,15,1,0,0,.340,.400,.440,.840
Toronto Blue Jays,MLB,Second Inning,73,72,13,23,3,0,3,4,1,14,1,2,0,.319,.329,.486,.815
Toronto Blue Jays,MLB,Third Inning,51,47,9,12,2,1,2,6,3,15,0,0,1,.255,.314,.468,.782
Toronto Blue Jays,MLB,Fourth Inning,72,66,9,16,5,0,7,12,6,15,0,0,0,.242,.306,.636,.942
Toronto Blue Jays,MLB,Fifth Inning,54,51,9,12,4,0,2,9,3,16,1,0,0,.235,.278,.431,.709
Toronto Blue Jays,MLB,Sixth Inning,74,69,9,20,5,0,4,12,5,22,2,0,0,.290,.338,.536,.874
Toronto Blue Jays,MLB,Seventh Inning,48,43,7,11,4,0,3,11,4,15,0,0,1,.256,.333,.558,.891
Toronto Blue Jays,MLB,Eighth Inning,68,64,10,18,5,0,4,9,4,23,1,1,0,.281,.324,.547,.871
Toronto Blue Jays,MLB,Ninth Inning,35,32,2,3,2,0,0,3,3,15,0,0,0,.094,.171,.156,.327
Toronto Blue Jays,MLB,Extra Innings,5,5,0,1,0,0,0,1,0,2,0,0,0,.200,.200,.200,.400
