Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,CHC,NL,2B,1,1,9.0,1,0,1,0,0,,1.000
2019,CHC,NL,SS,17,17,151.1,71,19,50,2,9,,.972
2019,CHC,NL,CF,1,1,8.0,2,2,0,0,0,,1.000
2020,CHC,NL,2B,37,22,208.0,87,27,58,2,6,,.977
2020,CHC,NL,3B,6,6,40.0,8,1,7,0,0,,1.000
2020,CHC,NL,SS,10,4,49.0,19,4,15,0,3,,1.000
2020,CHC,NL,LF,1,0,2.0,0,0,0,0,0,,.000
2020,CHC,NL,CF,1,1,6.0,2,2,0,0,0,,1.000
2021,CHC,NL,2B,30,30,251.1,124,39,84,1,16,,.992
2021,CHC,NL,3B,1,0,0.1,0,0,0,0,0,,.000
2021,CHC,NL,SS,12,12,98.0,47,11,35,1,2,,.979
2021,CHC,NL,LF,3,1,13.1,2,2,0,0,0,,1.000
2021,CHC,NL,CF,2,0,3.0,1,1,0,0,0,,1.000
2022,CHC,NL,3B,1,0,1.0,0,0,0,0,0,,.000
2022,CHC,NL,SS,133,128,1117.2,498,127,358,13,58,,.974
2022,CHC,NL,DH,1,1,0.0,0,0,0,0,0,,.000
4 Seasons,CHC,NL,2B,68,53,468.1,212,66,143,3,22,,.986
,CHC,NL,3B,8,6,41.1,8,1,7,0,0,,1.000
,CHC,NL,SS,172,161,1416.0,635,161,458,16,72,,.975
,CHC,NL,LF,4,1,15.1,2,2,0,0,0,,1.000
,CHC,NL,CF,4,2,17.0,5,5,0,0,0,,1.000
,CHC,NL,DH,1,1,0.0,0,0,0,0,0,,.000
