Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,253",61.2,344,302,81,58,17,2,4,30,278,.268,.234,.377,.313,.320,.285,83.1,16,10.8,10.0
2022,Breaking,511,25.0,128,118,18,15,2,0,1,29,90,.153,.189,.195,.246,.190,.227,79.8,12,16.5,16.0
2022,Offspeed,283,13.8,86,77,18,11,5,0,2,10,68,.234,.205,.377,.271,.303,.252,81.8,6,16.8,9.0
2021,Fastballs,989,65.5,274,223,62,40,14,3,5,27,204,.278,.247,.435,.352,.358,.325,85.4,18,12.6,13.0
2021,Breaking,335,22.2,65,56,17,14,1,0,2,19,37,.304,.279,.429,.356,.366,.335,84.0,11,23.0,17.3
2021,Offspeed,187,12.4,58,51,13,11,1,0,1,5,47,.255,.234,.333,.326,.300,.289,84.3,16,18.9,7.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
