Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Yankees,MLB,First Inning,8,8,1,3,1,0,0,3,0,0,0,0,0,.375,.375,.500,.875
New York Yankees,MLB,Second Inning,96,89,9,19,3,0,1,7,5,13,2,0,2,.213,.271,.281,.552
New York Yankees,MLB,Third Inning,44,41,6,9,3,0,0,4,2,3,1,0,0,.220,.250,.293,.543
New York Yankees,MLB,Fourth Inning,66,62,7,18,3,0,1,8,2,8,1,1,0,.290,.303,.387,.690
New York Yankees,MLB,Fifth Inning,71,63,11,18,7,0,1,5,6,10,4,0,1,.286,.352,.444,.796
New York Yankees,MLB,Sixth Inning,60,56,2,10,1,0,0,6,3,9,3,1,1,.179,.233,.196,.429
New York Yankees,MLB,Seventh Inning,68,62,10,18,1,0,1,5,5,12,1,0,0,.290,.343,.355,.698
New York Yankees,MLB,Eighth Inning,57,49,10,16,0,0,0,3,8,9,5,0,0,.327,.421,.327,.748
New York Yankees,MLB,Ninth Inning,51,45,6,12,1,0,0,5,3,7,4,2,1,.267,.320,.289,.609
New York Yankees,MLB,Extra Innings,10,8,4,3,0,0,0,2,1,1,1,0,0,.375,.444,.375,.819
