Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Nashville Sounds,Triple-A,First Inning,8,7,1,1,1,0,0,1,0,2,1,0,1,.143,.250,.286,.536
Frisco RoughRiders,Double-A,First Inning,17,14,0,2,0,0,0,2,2,2,0,0,1,.143,.294,.143,.437
Nashville Sounds,Triple-A,Second Inning,3,2,1,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333
Nashville Sounds,Triple-A,Third Inning,7,6,1,1,0,0,0,0,1,1,0,0,0,.167,.286,.167,.453
Frisco RoughRiders,Double-A,Third Inning,12,11,2,4,0,0,1,1,1,1,0,0,0,.364,.417,.636,1.053
Nashville Sounds,Triple-A,Fourth Inning,4,4,0,1,1,0,0,1,0,0,0,0,0,.250,.250,.500,.750
Frisco RoughRiders,Double-A,Fourth Inning,6,6,0,1,0,0,0,0,0,2,0,0,0,.167,.167,.167,.334
Nashville Sounds,Triple-A,Fifth Inning,3,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Frisco RoughRiders,Double-A,Fifth Inning,10,8,1,3,1,0,1,4,1,2,0,0,1,.375,.500,.875,1.375
Nashville Sounds,Triple-A,Sixth Inning,4,4,0,1,1,0,0,0,0,1,0,0,0,.250,.250,.500,.750
Frisco RoughRiders,Double-A,Sixth Inning,6,6,1,2,1,0,0,1,0,1,0,0,0,.333,.333,.500,.833
Nashville Sounds,Triple-A,Seventh Inning,3,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Frisco RoughRiders,Double-A,Seventh Inning,8,8,1,2,2,0,0,0,0,1,0,0,0,.250,.250,.500,.750
Nashville Sounds,Triple-A,Eighth Inning,3,3,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,.666
Frisco RoughRiders,Double-A,Eighth Inning,8,6,2,3,0,0,0,2,2,0,1,0,0,.500,.625,.500,1.125
Nashville Sounds,Triple-A,Ninth Inning,2,2,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Frisco RoughRiders,Double-A,Ninth Inning,4,1,0,0,0,0,0,1,2,0,0,0,0,.000,.500,.000,.500
