Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,AZL Rangers,AZL,ROK,2B,24,21,202.0,127,39,82,6,20,,.953
2013,AZL Rangers,AZL,ROK,SS,19,19,157.1,90,36,50,4,10,,.956
2014,2 Teams,,Minors,2B,11,11,98.0,52,29,22,1,4,,.981
2014,2 Teams,,Minors,2B,11,11,98.0,52,29,22,1,4,,.981
2014,2 Teams,,Minors,2B,11,11,98.0,52,29,22,1,4,,.981
2014,3 Teams,,Minors,SS,68,68,604.0,280,101,171,8,37,,.971
2014,3 Teams,,Minors,SS,68,68,604.0,280,101,171,8,37,,.971
2014,3 Teams,,Minors,SS,68,68,604.0,280,101,171,8,37,,.971
2014,AZL Rangers,AZL,ROK,2B,1,1,9.0,7,1,6,0,0,,1.000
2014,AZL Rangers,AZL,ROK,SS,1,1,9.0,7,2,5,0,2,,1.000
2014,Spokane Indians,NWL,A(Short),2B,10,10,89.0,45,28,16,1,4,,.978
2014,Spokane Indians,NWL,A(Short),SS,48,48,430.1,194,73,116,5,24,,.974
2014,Hickory Crawdads,SAL,A(Full),SS,19,19,164.2,79,26,50,3,11,,.962
2015,2 Teams,,Minors,DH,5,5,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,SS,20,20,173.0,91,37,50,4,18,,.956
2015,2 Teams,,Minors,2B,49,49,420.2,220,81,133,6,36,,.973
2015,2 Teams,,Minors,DH,5,5,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,SS,20,20,173.0,91,37,50,4,18,,.956
2015,2 Teams,,Minors,2B,49,49,420.2,220,81,133,6,36,,.973
2015,2 Teams,,Minors,DH,5,5,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,SS,20,20,173.0,91,37,50,4,18,,.956
2015,2 Teams,,Minors,2B,49,49,420.2,220,81,133,6,36,,.973
2015,Hickory Crawdads,SAL,A(Full),2B,12,12,98.2,54,22,30,2,8,,.963
2015,Hickory Crawdads,SAL,A(Full),3B,16,16,142.0,40,10,29,1,3,,.975
2015,Hickory Crawdads,SAL,A(Full),SS,1,1,10.0,7,5,2,0,3,,1.000
2015,Hickory Crawdads,SAL,A(Full),LF,8,5,44.1,4,4,0,0,0,,1.000
2015,Hickory Crawdads,SAL,A(Full),DH,3,3,0.0,0,0,0,0,0,,.000
2015,High Desert Mavericks,CAL,A(Adv),2B,37,37,322.0,166,59,103,4,28,,.976
