Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Columbus Clippers,Triple-A,Home Games,71,61,14,23,3,0,4,11,9,3,0,0,0,.377,.457,.623,1.080
Akron RubberDucks,Double-A,Home Games,104,86,17,29,2,2,2,11,16,13,3,1,1,.337,.442,.477,.919
Columbus Clippers,Triple-A,Away Games,49,42,9,9,0,1,1,2,5,5,2,0,1,.214,.313,.333,.646
Akron RubberDucks,Double-A,Away Games,117,107,25,36,10,1,5,20,6,10,1,1,2,.336,.383,.589,.972
Columbus Clippers,Triple-A,Day Games,23,19,9,9,2,0,2,7,4,0,0,0,0,.474,.565,.895,1.460
Akron RubberDucks,Double-A,Day Games,24,18,4,4,2,0,0,1,5,1,1,0,0,.222,.375,.333,.708
Columbus Clippers,Triple-A,Night Games,97,84,14,23,1,1,3,6,10,8,2,0,1,.274,.358,.417,.775
Akron RubberDucks,Double-A,Night Games,197,175,38,61,10,3,7,30,17,22,3,2,3,.349,.415,.560,.975
Columbus Clippers,Triple-A,Leading Off,45,38,,12,1,1,1,1,6,2,,,1,.316,.422,.474,.896
Akron RubberDucks,Double-A,Leading Off,52,47,,18,4,0,2,2,4,6,,,1,.383,.442,.596,1.038
Columbus Clippers,Triple-A,Late / Close,9,6,,1,0,0,0,0,0,1,,,1,.167,.286,.167,.453
Akron RubberDucks,Double-A,Late / Close,29,22,,8,2,0,1,5,4,2,,,1,.364,.481,.591,1.072
