Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,TB,AL,1B,21,19,170.1,164,158,5,1,11,,.994
2019,TB,AL,3B,4,1,9.0,1,1,0,0,0,,1.000
2019,TB,AL,DH,17,16,0.0,0,0,0,0,0,,.000
2020,TB,AL,1B,15,15,123.0,116,110,6,0,8,,1.000
2020,TB,AL,3B,2,1,16.0,4,0,4,0,1,,1.000
2020,TB,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2021,TEX,AL,1B,148,144,1269.1,1229,1164,54,11,119,,.991
2021,TEX,AL,3B,1,0,1.0,1,0,1,0,0,,1.000
2021,TEX,AL,DH,8,7,0.0,0,0,0,0,0,,.000
2022,TEX,AL,1B,153,150,1327.1,1331,1252,70,9,125,,.993
2022,TEX,AL,DH,4,4,0.0,0,0,0,0,0,,.000
4 Seasons,2 Teams,,1B,337,328,2890.0,2840,2684,135,21,263,,.993
,2 Teams,,3B,7,2,26.0,6,1,5,0,1,,1.000
,2 Teams,,DH,32,30,0.0,0,0,0,0,0,,.000
