Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2010,2 Teams,,Minors,DH,4,4,0.0,0,0,0,0,0,,.000
2010,GCL Orioles,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2010,Aberdeen IronBirds,NYP,A(Short),SS,5,5,44.0,22,7,14,1,2,,.955
2010,Aberdeen IronBirds,NYP,A(Short),DH,2,2,0.0,0,0,0,0,0,,.000
2011,2 Teams,,Minors,SS,94,94,817.1,448,139,290,19,53,,.958
2011,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2011,Delmarva Shorebirds,SAL,A(Full),SS,33,33,289.0,178,51,120,7,23,,.961
2011,Delmarva Shorebirds,SAL,A(Full),DH,4,4,0.0,0,0,0,0,0,,.000
2011,Frederick Keys,CAR,A(Adv),SS,61,61,528.1,270,88,170,12,30,,.956
2011,Frederick Keys,CAR,A(Adv),DH,2,2,0.0,0,0,0,0,0,,.000
2012,Bowie Baysox,EAS,AA,3B,2,2,18.0,7,1,5,1,0,,.857
2012,Bowie Baysox,EAS,AA,SS,104,103,907.1,481,151,308,22,68,,.954
2012,Bowie Baysox,EAS,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2014,Frederick Keys,CAR,A(Adv),3B,2,2,18.0,8,2,5,1,0,,.875
2014,Frederick Keys,CAR,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
,FCL Orioles,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,Bowie Baysox,EAS,AA,3B,2,2,18.0,7,1,5,1,0,,.857
,Bowie Baysox,EAS,AA,SS,104,103,907.1,481,151,308,22,68,,.954
,Bowie Baysox,EAS,AA,DH,3,3,0.0,0,0,0,0,0,,.000
,Frederick Keys,,A+,3B,2,2,18.0,8,2,5,1,0,,.875
,Frederick Keys,,A+,SS,61,61,528.1,270,88,170,12,30,,.956
,Frederick Keys,,A+,DH,3,3,0.0,0,0,0,0,0,,.000
,Delmarva Shorebirds,CAR,A,SS,33,33,289.0,178,51,120,7,23,,.961
,Delmarva Shorebirds,CAR,A,DH,4,4,0.0,0,0,0,0,0,,.000
,Aberdeen IronBirds,SAL,A(Short),SS,5,5,44.0,22,7,14,1,2,,.955
,Aberdeen IronBirds,SAL,A(Short),DH,2,2,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,3B,4,4,36.0,15,3,10,2,0,,.867
,4 Teams,,Minors,SS,203,202,1768.2,951,297,612,42,123,,.956
Career Minors,5 Teams,,,DH,14,14,0.0,0,0,0,0,0,,.000
