Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Houston Astros,MLB,Bases Empty,107,95,,18,5,0,3,3,11,29,,,1,.189,.280,.337,.617
Baltimore Orioles,MLB,Bases Empty,219,198,,51,11,0,6,6,17,52,,,4,.258,.329,.404,.733
Baltimore Orioles,MLB,Bases Loaded,5,2,,0,0,0,0,3,0,1,,,1,.000,.200,.000,.200
Houston Astros,MLB,Bases Loaded,4,4,,1,0,0,1,4,0,1,,,0,.250,.250,1.000,1.250
Houston Astros,MLB,Runner at 1st,34,33,,3,0,0,1,2,1,10,,,0,.091,.118,.182,.300
Baltimore Orioles,MLB,Runner at 1st,82,71,,22,1,1,0,1,8,12,,,3,.310,.402,.352,.754
Baltimore Orioles,MLB,Runners at 1st & 2nd,23,19,,5,2,0,1,8,3,6,,,1,.263,.391,.526,.917
Houston Astros,MLB,Runners at 1st & 2nd,7,6,,2,0,0,1,4,1,2,,,0,.333,.429,.833,1.262
Houston Astros,MLB,Runners at 1st & 3rd,6,6,,1,0,0,1,3,0,1,,,0,.167,.167,.667,.834
Baltimore Orioles,MLB,Runners at 1st & 3rd,9,9,,3,0,0,0,3,0,1,,,0,.333,.333,.333,.666
Baltimore Orioles,MLB,Runner at 2nd,45,41,,10,1,0,3,10,4,10,,,0,.244,.311,.488,.799
Houston Astros,MLB,Runner at 2nd,16,13,,4,2,0,1,4,3,4,,,0,.308,.438,.692,1.130
Houston Astros,MLB,Runners at 2nd & 3rd,5,2,,0,0,0,0,1,2,1,,,0,.000,.400,.000,.400
Baltimore Orioles,MLB,Runners at 2nd & 3rd,5,3,,1,1,0,0,4,1,0,,,0,.333,.400,.667,1.067
Houston Astros,MLB,Runner at 3rd,7,6,,0,0,0,0,1,0,1,,,0,.000,.000,.000,.000
Baltimore Orioles,MLB,Runner at 3rd,13,11,,3,0,0,0,6,2,4,,,0,.273,.385,.273,.658
Houston Astros,MLB,Scoring Position,45,37,,8,2,0,4,17,6,10,,,0,.216,.311,.595,.906
Baltimore Orioles,MLB,Scoring Position,100,85,,22,4,0,4,34,10,22,,,2,.259,.340,.447,.787
