Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,VSL Rays,,ROK,P,15,6,34.1,8,4,4,0,1,,1.000
2013,Princeton Rays,APP,ROK,P,12,12,53.1,8,4,4,0,0,,1.000
2014,Bowling Green Hot Rods,MID,A(Full),P,22,18,98.0,22,10,11,1,0,,.955
2015,Charlotte Stone Crabs,FSL,A(Adv),P,26,23,139.0,21,6,12,3,1,,.857
2016,2 Teams,,Minors,P,26,26,166.2,37,15,19,3,2,,.919
2016,Hartford Yard Goats,EAS,AA,P,21,21,135.2,29,11,15,3,1,,.897
2016,Albuquerque Isotopes,PCL,AAA,P,5,5,31.0,8,4,4,0,1,,1.000
2017,Albuquerque Isotopes,PCL,AAA,P,3,2,10.0,3,1,2,0,0,,1.000
,2 Teams,,ROK,P,27,18,87.2,16,8,8,0,1,,1.000
,Albuquerque Isotopes,PCL,AAA,P,8,7,41.0,11,5,6,0,1,,1.000
,Hartford Yard Goats,EAS,AA,P,21,21,135.2,29,11,15,3,1,,.897
,Charlotte Stone Crabs,FSL,A+,P,26,23,139.0,21,6,12,3,1,,.857
,Bowling Green Hot Rods,SAL,A,P,22,18,98.0,22,10,11,1,0,,.955
Career Minors,6 Teams,,,P,104,87,501.1,99,40,52,7,4,,.929
