Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,SEA,AL,2B,4,3,31.2,11,1,10,0,2,,1.000
2015,SEA,AL,SS,51,49,440.1,223,64,150,9,31,,.960
2015,SEA,AL,CF,2,2,14.0,3,3,0,0,0,,1.000
2016,SEA,AL,SS,119,116,1032.2,476,140,315,21,69,,.956
2017,AZ,NL,3B,3,2,11.1,1,1,0,0,0,,1.000
2017,AZ,NL,SS,64,57,507.2,243,68,166,9,43,,.963
2018,AZ,NL,2B,131,105,989.2,494,190,299,5,83,,.990
2018,AZ,NL,SS,28,27,222.1,102,21,78,3,15,,.971
2019,AZ,NL,2B,83,45,462.1,203,79,122,2,28,,.990
2019,AZ,NL,SS,11,5,60.0,27,7,20,0,4,,1.000
2019,AZ,NL,CF,96,89,687.2,167,163,3,1,0,,.994
2020,AZ,NL,2B,41,40,332.1,156,65,90,1,22,,.994
2020,AZ,NL,SS,2,2,16.0,8,4,3,1,0,,.875
2020,AZ,NL,CF,3,2,20.0,5,5,0,0,0,,1.000
2020,AZ,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,AZ,NL,2B,20,14,129.1,71,31,37,3,12,,.958
2021,AZ,NL,CF,71,67,567.1,158,155,1,2,0,,.987
2022,AZ,NL,2B,94,91,806.1,339,135,196,8,49,,.976
2022,AZ,NL,DH,37,37,0.0,0,0,0,0,0,,.000
8 Seasons,2 Teams,,2B,373,298,2751.2,1274,501,754,19,196,,.985
,AZ,NL,3B,3,2,11.1,1,1,0,0,0,,1.000
,2 Teams,,SS,275,256,2279.0,1079,304,732,43,162,,.960
,2 Teams,,CF,172,160,1289.0,333,326,4,3,0,,.991
,AZ,NL,DH,38,38,0.0,0,0,0,0,0,,.000
