Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Marte, Ketel - LHB",2015,0.00,0.54,0.82,1.06,1.29,1.51,1.72,1.93,2.12,2.30,2.48,2.66,2.83,3.01,3.18,3.35,3.52,3.69,3.88
"Marte, Ketel - RHB",2015,0.00,0.56,0.84,1.09,1.32,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.86,3.03,3.21,3.38,3.56,3.75,3.96
"Marte, Ketel - LHB",2016,0.00,0.53,0.82,1.07,1.31,1.53,1.74,1.94,2.13,2.31,2.49,2.67,2.84,3.01,3.19,3.36,3.53,3.71,3.90
"Marte, Ketel - RHB",2016,0.00,0.54,0.84,1.10,1.34,1.56,1.78,1.98,2.17,2.36,2.54,2.72,2.89,3.07,3.24,3.41,3.59,3.76,3.94
"Marte, Ketel - LHB",2017,0.00,0.53,0.81,1.06,1.29,1.51,1.71,1.91,2.09,2.27,2.45,2.62,2.79,2.96,3.13,3.29,3.46,3.63,3.81
"Marte, Ketel - RHB",2017,0.00,0.55,0.85,1.11,1.35,1.57,1.78,1.97,2.16,2.34,2.52,2.70,2.87,3.05,3.22,3.38,3.55,3.72,3.89
"Marte, Ketel - LHB",2018,0.00,0.53,0.81,1.06,1.30,1.51,1.72,1.91,2.10,2.28,2.46,2.64,2.81,2.98,3.15,3.33,3.50,3.68,3.87
"Marte, Ketel - RHB",2018,0.00,0.53,0.83,1.08,1.32,1.54,1.75,1.95,2.14,2.32,2.50,2.68,2.86,3.03,3.20,3.37,3.54,3.72,3.90
"Marte, Ketel - LHB",2019,0.00,0.53,0.81,1.07,1.31,1.53,1.74,1.93,2.12,2.31,2.49,2.67,2.85,3.02,3.20,3.37,3.55,3.73,3.93
"Marte, Ketel - RHB",2019,0.00,0.53,0.83,1.09,1.33,1.55,1.76,1.96,2.15,2.33,2.52,2.69,2.87,3.05,3.22,3.39,3.57,3.74,3.93
"Marte, Ketel - LHB",2020,0.00,0.54,0.85,1.12,1.35,1.57,1.77,1.97,2.16,2.35,2.53,2.71,2.88,3.06,3.24,3.42,3.60,3.78,3.99
"Marte, Ketel - RHB",2020,0.00,0.58,0.91,1.17,1.41,1.63,1.84,2.03,2.23,2.42,2.60,2.78,2.95,3.13,3.30,3.47,3.64,3.81,3.98
"Marte, Ketel - LHB",2021,0.00,0.55,0.86,1.12,1.36,1.58,1.78,1.98,2.18,2.37,2.56,2.75,2.94,3.12,3.31,3.50,3.69,3.90,4.13
"Marte, Ketel - RHB",2021,0.00,0.56,0.90,1.17,1.41,1.63,1.85,2.05,2.25,2.44,2.63,2.82,3.00,3.18,3.36,3.54,3.73,3.92,4.10
"Marte, Ketel - LHB",2022,0.00,0.54,0.84,1.10,1.34,1.56,1.76,1.96,2.16,2.34,2.53,2.71,2.89,3.07,3.25,3.43,3.61,3.80,4.01
"Marte, Ketel - RHB",2022,0.00,0.58,0.91,1.18,1.43,1.65,1.87,2.07,2.27,2.46,2.65,2.83,3.02,3.20,3.39,3.58,3.77,3.98,4.21

