Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,RF,-12,,-2,-2,-6,-1,-7,-5,237,81%,86%,-5%
2017,,ALL,-7,,1,-4,-3,-1,-5,-2,239,83%,86%,-3%
2017,,ALL,-4,,0,-3,-2,0,-2,-2,118,82%,85%,-3%
2017,,ALL,-3,,1,-2,-1,-1,-3,0,121,84%,87%,-2%
2017,,RF,-7,,1,-4,-3,-1,-5,-2,239,83%,86%,-3%
2017,,RF,-4,,0,-3,-2,0,-2,-2,118,82%,85%,-3%
2017,,RF,-3,,1,-2,-1,-1,-3,0,121,84%,87%,-2%
2018,,ALL,-6,,-1,-2,-3,0,-3,-2,140,84%,88%,-4%
2018,,RF,-3,,-1,-1,-1,0,-2,-1,77,86%,89%,-4%
2018,,LF,-3,,0,0,-2,0,-2,-1,63,81%,85%,-4%
2019,,ALL,-4,,-1,0,-2,-2,-4,0,80,79%,84%,-6%
2019,,RF,-4,,-1,0,-1,-2,-3,-1,54,78%,85%,-8%
2019,,LF,0,,0,0,-1,0,-1,1,26,81%,82%,-1%
2020,,ALL,0,,0,1,-1,0,0,0,11,82%,86%,-4%
2020,,RF,-1,,0,0,-1,0,-1,0,5,60%,79%,-19%
2020,,LF,1,,0,0,0,0,1,0,6,100%,91%,9%
2021,,ALL,-2,,0,-1,-1,0,-4,2,77,82%,84%,-3%
2021,,RF,-1,,-1,0,-1,0,-1,0,12,75%,87%,-12%
2021,,LF,-1,,1,-1,0,0,-2,2,65,83%,84%,-1%
Career,,ALL,-31,,-2,-9,-16,-4,-23,-8,784,82%,86%,-4%
