Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Las Vegas Aviators,Triple-A,First Inning,111,102,26,30,4,2,7,15,6,27,5,2,2,.294,.342,.578,.920
Las Vegas Aviators,Triple-A,Second Inning,47,45,3,11,2,0,0,8,1,11,3,0,1,.244,.277,.289,.566
Las Vegas Aviators,Triple-A,Third Inning,79,73,21,27,4,2,5,15,5,16,1,5,1,.370,.418,.685,1.103
Las Vegas Aviators,Triple-A,Fourth Inning,49,45,7,10,2,2,1,7,4,12,1,1,0,.222,.286,.422,.708
Las Vegas Aviators,Triple-A,Fifth Inning,60,60,13,22,3,4,3,12,0,16,5,1,0,.367,.367,.700,1.067
Las Vegas Aviators,Triple-A,Sixth Inning,66,62,9,18,7,3,1,8,4,21,2,1,0,.290,.333,.548,.881
Las Vegas Aviators,Triple-A,Seventh Inning,50,46,4,11,2,1,0,5,4,15,0,1,0,.239,.300,.326,.626
Las Vegas Aviators,Triple-A,Eighth Inning,54,49,5,9,2,0,1,4,5,16,4,0,0,.184,.259,.286,.545
Las Vegas Aviators,Triple-A,Ninth Inning,44,44,5,14,3,0,1,3,0,10,3,0,0,.318,.318,.455,.773
Las Vegas Aviators,Triple-A,Extra Innings,6,6,2,2,0,0,0,1,0,1,0,0,0,.333,.333,.333,.666
