Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,DSL Yankees2,DSL,ROK,SS,11,11,96.2,47,16,29,2,2,,.957
2012,DSL Yankees2,DSL,ROK,DH,3,3,0.0,0,0,0,0,0,,.000
2013,DSL Yankees1,DSL,ROK,SS,56,56,473.2,262,97,146,19,28,,.927
2013,DSL Yankees1,DSL,ROK,DH,8,8,0.0,0,0,0,0,0,,.000
2014,GCL Yankees1,GCL,ROK,SS,12,12,100.0,59,19,39,1,5,,.983
2014,GCL Yankees1,GCL,ROK,DH,3,3,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,DH,18,18,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,SS,99,99,839.2,422,138,254,30,48,,.929
2015,Charleston RiverDogs,SAL,A(Full),SS,79,79,677.1,334,111,199,24,38,,.928
2015,Charleston RiverDogs,SAL,A(Full),DH,17,17,0.0,0,0,0,0,0,,.000
2015,Tampa Yankees,FSL,A(Adv),SS,20,20,162.1,88,27,55,6,10,,.932
2015,Tampa Yankees,FSL,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2016,Tampa Yankees,FSL,A(Adv),2B,40,40,362.2,175,80,94,1,26,,.994
2016,Tampa Yankees,FSL,A(Adv),SS,62,61,530.0,269,104,148,17,26,,.937
2016,Tampa Yankees,FSL,A(Adv),DH,10,10,0.0,0,0,0,0,0,,.000
2017,2 Teams,,Minors,CF,29,29,247.1,69,67,1,1,0,,.986
2017,2 Teams,,Minors,2B,8,8,61.0,31,13,16,2,5,,.935
2017,3 Teams,,Minors,SS,89,86,764.2,393,128,246,19,48,,.952
2017,Tampa Yankees,FSL,A(Adv),2B,2,2,10.2,3,2,1,0,0,,1.000
2017,Tampa Yankees,FSL,A(Adv),SS,42,39,341.1,169,60,100,9,19,,.947
2017,Tampa Yankees,FSL,A(Adv),CF,22,22,189.1,53,51,1,1,0,,.981
2017,Tampa Yankees,FSL,A(Adv),DH,4,4,0.0,0,0,0,0,0,,.000
2017,Trenton Thunder,EAS,AA,SS,17,17,146.0,79,25,51,3,6,,.962
2017,Trenton Thunder,EAS,AA,2B,6,6,50.1,28,11,15,2,5,,.929
2017,Trenton Thunder,EAS,AA,CF,7,7,58.0,16,16,0,0,0,,1.000
2017,Midland RockHounds,TEX,AA,SS,30,30,277.1,145,43,95,7,23,,.952
2017,2 Teams,,AA,SS,47,47,423.1,224,68,146,10,29,,.955
2018,Nashville Sounds,PCL,AAA,2B,4,4,33.0,18,8,10,0,8,,1.000
2018,Nashville Sounds,PCL,AAA,SS,123,122,1060.2,509,146,340,23,72,,.955
2018,Nashville Sounds,PCL,AAA,DH,5,4,0.0,0,0,0,0,0,,.000
2019,Las Vegas Aviators,PCL,AAA,2B,14,14,117.0,63,27,35,1,8,,.984
2019,Las Vegas Aviators,PCL,AAA,SS,100,99,865.1,464,140,304,20,76,,.957
2019,Las Vegas Aviators,PCL,AAA,DH,6,5,0.0,0,0,0,0,0,,.000
,3 Teams,,ROK,SS,79,79,670.1,368,132,214,22,35,,.940
,3 Teams,,ROK,DH,14,14,0.0,0,0,0,0,0,,.000
,2 Teams,,AAA,2B,18,18,150.0,81,35,45,1,16,,.988
,2 Teams,,AAA,SS,223,221,1926.0,973,286,644,43,148,,.956
,2 Teams,,AAA,DH,11,9,0.0,0,0,0,0,0,,.000
,2 Teams,,AA,SS,47,47,423.1,224,68,146,10,29,,.955
,Trenton Thunder,,AA,2B,6,6,50.1,28,11,15,2,5,,.929
,Trenton Thunder,,AA,CF,7,7,58.0,16,16,0,0,0,,1.000
,Tampa Tarpons,FSL,A+,2B,42,42,373.1,178,82,95,1,26,,.994
,Tampa Tarpons,FSL,A+,SS,124,120,1033.2,526,191,303,32,55,,.939
,Tampa Tarpons,FSL,A+,CF,22,22,189.1,53,51,1,1,0,,.981
,Tampa Tarpons,FSL,A+,DH,15,15,0.0,0,0,0,0,0,,.000
,Charleston RiverDogs,CAR,A,SS,79,79,677.1,334,111,199,24,38,,.928
,Charleston RiverDogs,CAR,A,DH,17,17,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,2B,48,48,423.2,206,93,110,3,31,,.985
,2 Teams,,Minors,SS,203,199,1711.0,860,302,502,56,93,,.935
,2 Teams,,Minors,CF,29,29,247.1,69,67,1,1,0,,.986
Career Minors,2 Teams,,,DH,32,32,0.0,0,0,0,0,0,,.000
