Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Montgomery Biscuits,Double-A,Home Games,0,1,9.00,2,2,0,9.0,49,19,10,9,1,4,9,2.56
Charlotte Stone Crabs,Class A Advanced,Home Games,3,1,1.47,4,3,0,18.1,74,14,6,3,0,3,26,0.93
Bowling Green Hot Rods,Class A,Home Games,0,1,2.86,4,4,0,22.0,93,16,8,7,1,12,30,1.27
Montgomery Biscuits,Double-A,Away Games,1,0,7.71,2,2,0,9.1,41,11,8,8,2,2,12,1.39
Charlotte Stone Crabs,Class A Advanced,Away Games,3,0,1.45,5,5,0,31.0,117,19,5,5,1,5,33,0.77
Bowling Green Hot Rods,Class A,Away Games,4,3,3.77,7,6,0,31.0,130,22,14,13,2,19,44,1.32
Montgomery Biscuits,Double-A,Day Games,0,1,18.90,1,1,0,3.1,23,11,8,7,0,2,2,3.90
Charlotte Stone Crabs,Class A Advanced,Day Games,1,0,0.00,2,2,0,11.1,45,8,0,0,0,3,16,0.97
Bowling Green Hot Rods,Class A,Day Games,1,1,4.80,3,2,0,15.0,64,10,9,8,0,12,17,1.47
Montgomery Biscuits,Double-A,Night Games,1,0,6.00,3,3,0,15.0,67,19,10,10,3,4,19,1.53
Charlotte Stone Crabs,Class A Advanced,Night Games,5,1,1.89,7,6,0,38.0,146,25,11,8,1,5,43,0.79
Bowling Green Hot Rods,Class A,Night Games,3,3,2.84,8,8,0,38.0,159,28,13,12,3,19,57,1.24
Montgomery Biscuits,Double-A,Leading Off,,,,4,,,4.1,20,7,,,1,0,6,1.62
Charlotte Stone Crabs,Class A Advanced,Leading Off,,,,9,,,13.0,51,9,,,0,0,11,0.69
Bowling Green Hot Rods,Class A,Leading Off,,,,11,,,12.2,55,11,,,2,6,20,1.34
Charlotte Stone Crabs,Class A Advanced,Late / Close,,,,2,,,1.2,6,1,,,0,0,0,0.60
