Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2009,PIT,NL,CF,108,108,952.2,275,263,10,2,1,,.993
2010,PIT,NL,CF,152,152,1290.1,386,373,8,5,2,,.987
2011,PIT,NL,CF,155,153,1353.2,430,414,9,7,5,,.984
2011,PIT,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2012,PIT,NL,CF,156,156,1364.0,371,367,3,1,1,,.997
2013,PIT,NL,CF,155,154,1378.0,338,321,11,6,3,,.982
2014,PIT,NL,CF,146,146,1286.0,308,301,1,6,0,,.981
2015,PIT,NL,CF,152,151,1374.2,310,301,7,2,2,,.994
2015,PIT,NL,DH,3,3,0.0,0,0,0,0,0,,.000
2016,PIT,NL,CF,151,151,1318.0,326,317,6,3,0,,.991
2017,PIT,NL,CF,139,139,1188.1,282,270,8,4,2,,.986
2017,PIT,NL,RF,13,13,115.1,21,20,1,0,0,,1.000
2017,PIT,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2018,SF,NL,RF,128,127,1125.2,255,245,8,2,1,,.992
2018,SF,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,NYY,AL,RF,15,15,118.0,17,17,0,0,0,,1.000
2018,NYY,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,NYY,AL,LF,12,9,90.0,17,17,0,0,0,,1.000
2018,2 Teams,,RF,143,142,1243.2,272,262,8,2,1,,.993
2018,2 Teams,,DH,2,2,0.0,0,0,0,0,0,,.000
2019,PHI,NL,LF,52,47,402.1,82,79,2,1,0,,.988
2019,PHI,NL,CF,15,10,93.1,28,27,0,1,0,,.964
2019,PHI,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,PHI,NL,LF,39,36,302.0,47,47,0,0,0,,1.000
2020,PHI,NL,DH,16,16,0.0,0,0,0,0,0,,.000
2021,PHI,NL,LF,135,131,1099.0,197,189,4,4,0,,.980
2021,PHI,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,MIL,NL,LF,31,31,268.1,53,53,0,0,0,,1.000
2022,MIL,NL,CF,3,2,13.0,5,5,0,0,0,,1.000
2022,MIL,NL,RF,19,16,153.0,31,30,1,0,0,,1.000
2022,MIL,NL,DH,82,82,0.0,0,0,0,0,0,,.000
14 Seasons,3 Teams,,CF,1332,1322,11612.0,3059,2959,63,37,16,,.988
,4 Teams,,RF,175,171,1512.0,324,312,10,2,1,,.994
,5 Teams,,DH,108,108,0.0,0,0,0,0,0,,.000
,3 Teams,,LF,269,254,2161.2,396,385,6,5,0,,.987
