Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2005,2 Teams,,Minors,CF,56,56,472.1,112,103,6,3,4,,.973
2005,GCL Pirates,GCL,ROK,CF,43,43,354.1,83,74,6,3,4,,.964
2005,GCL Pirates,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2005,Williamsport Crosscutters,NYP,A(Short),CF,13,13,118.0,29,29,0,0,0,,1.000
2006,2 Teams,,Minors,CF,124,124,1069.2,279,267,6,6,2,,.978
2006,Hickory Crawdads,SAL,A(Full),CF,114,114,984.2,258,246,6,6,2,,.977
2006,Altoona Curve,EAS,AA,LF,9,8,69.0,19,18,1,0,1,,1.000
2006,Altoona Curve,EAS,AA,CF,10,10,85.0,21,21,0,0,0,,1.000
2006,Altoona Curve,EAS,AA,RF,1,1,5.0,0,0,0,0,0,,.000
2006,Altoona Curve,EAS,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2007,2 Teams,,Minors,CF,133,130,1115.1,349,338,8,3,3,,.991
2007,Altoona Curve,EAS,AA,CF,118,115,986.1,316,305,8,3,3,,.991
2007,Indianapolis Indians,INT,AAA,LF,2,2,16.0,3,3,0,0,0,,1.000
2007,Indianapolis Indians,INT,AAA,CF,15,15,129.0,33,33,0,0,0,,1.000
2008,Indianapolis Indians,INT,AAA,LF,9,6,60.1,13,13,0,0,0,,1.000
2008,Indianapolis Indians,INT,AAA,CF,120,119,1028.0,282,275,4,3,1,,.989
2008,Indianapolis Indians,INT,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
2009,Indianapolis Indians,INT,AAA,LF,1,1,8.0,1,1,0,0,0,,1.000
2009,Indianapolis Indians,INT,AAA,CF,47,46,407.1,122,117,5,0,2,,1.000
,FCL Pirates,GCL,ROK,CF,43,43,354.1,83,74,6,3,4,,.964
,FCL Pirates,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,Indianapolis Indians,INT,AAA,LF,12,9,84.1,17,17,0,0,0,,1.000
,Indianapolis Indians,INT,AAA,CF,182,180,1564.1,437,425,9,3,3,,.993
,Indianapolis Indians,INT,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
,Altoona Curve,EAS,AA,LF,9,8,69.0,19,18,1,0,1,,1.000
,Altoona Curve,EAS,AA,CF,128,125,1071.1,337,326,8,3,3,,.991
,Altoona Curve,EAS,AA,RF,1,1,5.0,0,0,0,0,0,,.000
,Altoona Curve,EAS,AA,DH,1,1,0.0,0,0,0,0,0,,.000
,Hickory Crawdads,SAL,A,CF,114,114,984.2,258,246,6,6,2,,.977
,Williamsport Crosscutters,,A(Short),CF,13,13,118.0,29,29,0,0,0,,1.000
,2 Teams,,Minors,LF,21,17,153.1,36,35,1,0,1,,1.000
,5 Teams,,Minors,CF,480,475,4092.2,1144,1100,29,15,12,,.987
,1 Teams,,Minors,RF,1,1,5.0,0,0,0,0,0,,.000
Career Minors,3 Teams,,,DH,8,8,0.0,0,0,0,0,0,,.000
