Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Mets,MLB,First Inning,62,57,5,19,3,0,1,11,3,5,1,0,0,.333,.355,.439,.794
New York Mets,MLB,Second Inning,74,65,7,19,2,0,0,4,6,7,1,0,2,.292,.365,.323,.688
New York Mets,MLB,Third Inning,61,59,9,24,5,0,3,9,1,4,0,0,0,.407,.410,.644,1.054
New York Mets,MLB,Fourth Inning,74,64,10,15,4,0,3,10,7,3,1,0,2,.234,.324,.438,.762
New York Mets,MLB,Fifth Inning,66,61,13,23,7,1,0,9,5,10,0,0,0,.377,.424,.525,.949
New York Mets,MLB,Sixth Inning,61,59,7,21,4,0,0,7,2,10,1,0,0,.356,.377,.424,.801
New York Mets,MLB,Seventh Inning,74,66,5,20,4,0,0,2,7,13,0,0,1,.303,.378,.364,.742
New York Mets,MLB,Eighth Inning,63,55,8,17,4,0,1,5,3,4,0,0,5,.309,.397,.436,.833
New York Mets,MLB,Ninth Inning,50,44,8,16,6,0,1,5,5,4,0,0,1,.364,.440,.568,1.008
New York Mets,MLB,Extra Innings,4,3,1,0,0,0,0,0,1,1,0,0,0,.000,.250,.000,.250
