Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2009,Eugene Emeralds,NOR,A(Short),P,15,11,53.0,12,5,5,2,1,,.833
2010,Fort Wayne TinCaps,MID,A(Full),P,60,0,81.2,9,5,4,0,0,,1.000
2011,2 Teams,,Minors,P,62,0,72.0,13,5,8,0,0,,1.000
2011,2 Teams,,Minors,P,62,0,72.0,13,5,8,0,0,,1.000
2011,2 Teams,,Minors,P,62,0,72.0,13,5,8,0,0,,1.000
2011,Lake Elsinore Storm,CAL,A(Adv),P,34,0,39.2,9,3,6,0,0,,1.000
2011,San Antonio Missions,TEX,AA,P,28,0,32.1,4,2,2,0,0,,1.000
2012,2 Teams,,Minors,P,29,0,32.0,8,1,6,1,0,,.875
2012,2 Teams,,Minors,P,29,0,32.0,8,1,6,1,0,,.875
2012,2 Teams,,Minors,P,29,0,32.0,8,1,6,1,0,,.875
2012,San Antonio Missions,TEX,AA,P,12,0,12.1,4,1,2,1,0,,.750
2012,Tucson Padres,PCL,AAA,P,17,0,19.2,4,0,4,0,0,,1.000
2013,Tucson Padres,PCL,AAA,P,54,0,61.0,12,6,6,0,0,,1.000
2014,Round Rock Express,PCL,AAA,P,16,6,44.2,11,6,5,0,0,,1.000
2021,3 Teams,,Minors,P,8,8,36.2,8,5,3,0,1,,1.000
2021,3 Teams,,Minors,P,8,8,36.2,8,5,3,0,1,,1.000
2021,3 Teams,,Minors,P,8,8,36.2,8,5,3,0,1,,1.000
2021,Peoria Chiefs,MID,A+,P,1,1,7.0,1,0,1,0,0,,1.000
2021,Springfield Cardinals,TEX,AA,P,2,2,10.1,3,2,1,0,1,,1.000
2021,Memphis Redbirds,INT,AAA,P,5,5,19.1,4,3,1,0,0,,1.000
,3 Teams,,AAA,P,92,11,144.2,31,15,16,0,0,,1.000
,2 Teams,,AA,P,42,2,55.0,11,5,5,1,1,,.909
,2 Teams,,A+,P,35,1,46.2,10,3,7,0,0,,1.000
,Fort Wayne TinCaps,MID,A,P,60,0,81.2,9,5,4,0,0,,1.000
,Eugene Emeralds,NOR,A(Short),P,15,11,53.0,12,5,5,2,1,,.833
,9 Teams,,Minors,P,244,25,381.0,73,33,37,3,2,,.959
,9 Teams,,Minors,P,244,25,381.0,73,33,37,3,2,,.959
Career Minors,9 Teams,,,P,244,25,381.0,73,33,37,3,2,,.959
