Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Los Angeles Dodgers,MLB,First Inning,55,42,2,7,0,0,0,3,11,14,0,0,1,.167,.345,.167,.512
Los Angeles Dodgers,MLB,Second Inning,78,66,14,14,4,0,4,6,10,22,1,0,2,.212,.333,.455,.788
Los Angeles Dodgers,MLB,Third Inning,54,44,10,11,3,0,3,10,10,14,0,0,0,.250,.389,.523,.912
Los Angeles Dodgers,MLB,Fourth Inning,76,63,8,16,7,0,1,8,12,19,0,0,0,.254,.368,.413,.781
Los Angeles Dodgers,MLB,Fifth Inning,50,44,6,8,2,0,3,9,4,13,0,0,1,.182,.260,.432,.692
Los Angeles Dodgers,MLB,Sixth Inning,77,60,8,11,1,0,4,14,16,15,1,0,0,.183,.351,.400,.751
Los Angeles Dodgers,MLB,Seventh Inning,51,45,10,10,2,1,3,8,5,11,0,0,0,.222,.294,.511,.805
Los Angeles Dodgers,MLB,Eighth Inning,74,62,8,7,1,0,2,5,11,22,0,0,1,.113,.257,.226,.483
Los Angeles Dodgers,MLB,Ninth Inning,41,32,3,6,1,0,1,3,8,10,0,0,0,.188,.341,.313,.654
Los Angeles Dodgers,MLB,Extra Innings,9,6,0,1,1,0,0,3,3,1,0,0,0,.167,.444,.333,.777
