Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Oakland Athletics,MLB,First Inning,112,97,9,20,5,0,3,13,11,31,0,0,2,.206,.295,.351,.646
Oakland Athletics,MLB,Second Inning,37,30,3,7,2,0,1,1,6,6,0,0,1,.233,.378,.400,.778
Oakland Athletics,MLB,Third Inning,64,56,11,19,5,0,5,16,5,10,0,0,1,.339,.391,.696,1.087
Oakland Athletics,MLB,Fourth Inning,81,71,8,17,7,0,1,5,8,13,0,0,2,.239,.333,.380,.713
Oakland Athletics,MLB,Fifth Inning,56,50,8,14,5,0,2,14,5,13,0,0,0,.280,.339,.500,.839
Oakland Athletics,MLB,Sixth Inning,66,60,4,9,1,1,3,8,5,11,0,0,1,.150,.227,.350,.577
Oakland Athletics,MLB,Seventh Inning,59,51,8,15,4,0,1,5,7,9,0,0,1,.294,.390,.431,.821
Oakland Athletics,MLB,Eighth Inning,67,63,8,15,5,1,0,0,2,18,0,0,2,.238,.284,.349,.633
Oakland Athletics,MLB,Ninth Inning,63,55,7,15,3,0,2,2,4,13,1,0,3,.273,.355,.436,.791
Oakland Athletics,MLB,Extra Innings,7,4,1,3,0,0,0,2,3,0,0,0,0,.750,.857,.750,1.607
