Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Atlanta Braves,MLB,First Inning,129,118,13,20,5,0,5,11,11,41,0,0,0,.169,.240,.339,.579
Atlanta Braves,MLB,Second Inning,43,40,4,12,5,0,3,9,2,10,0,0,1,.300,.349,.650,.999
Atlanta Braves,MLB,Third Inning,79,65,8,12,4,0,3,12,13,18,0,0,1,.185,.329,.385,.714
Atlanta Braves,MLB,Fourth Inning,87,80,14,21,8,0,4,11,7,19,0,0,0,.263,.322,.513,.835
Atlanta Braves,MLB,Fifth Inning,66,63,8,11,4,0,5,14,3,17,0,0,0,.175,.212,.476,.688
Atlanta Braves,MLB,Sixth Inning,85,75,13,19,6,0,8,16,7,16,0,0,0,.253,.306,.653,.959
Atlanta Braves,MLB,Seventh Inning,68,56,6,18,5,0,2,14,11,13,0,0,1,.321,.441,.518,.959
Atlanta Braves,MLB,Eighth Inning,77,66,10,18,3,0,3,6,10,19,0,0,1,.273,.377,.455,.832
Atlanta Braves,MLB,Ninth Inning,54,45,10,12,3,0,1,5,8,16,0,0,0,.267,.370,.400,.770
Atlanta Braves,MLB,Extra Innings,11,8,0,5,1,0,0,5,3,1,0,0,0,.625,.727,.750,1.477
