Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
FCL Astros,Rookie,Home Games,13,11,2,3,1,0,0,0,1,3,1,0,1,.273,.385,.364,.749
Sugar Land Skeeters,Triple-A,Home Games,69,64,12,16,1,0,7,12,2,18,0,1,3,.250,.304,.594,.898
FCL Astros,Rookie,Away Games,14,12,1,5,0,1,0,2,1,3,0,0,1,.417,.500,.583,1.083
Sugar Land Skeeters,Triple-A,Away Games,64,58,10,19,3,2,3,7,4,17,5,0,2,.328,.391,.603,.994
FCL Astros,Rookie,Day Games,27,23,3,8,1,1,0,2,2,6,1,0,2,.348,.444,.478,.922
Sugar Land Skeeters,Triple-A,Day Games,24,22,3,2,0,0,0,0,0,12,1,0,2,.091,.167,.091,.258
Sugar Land Skeeters,Triple-A,Night Games,109,100,19,33,4,2,10,19,6,23,4,1,3,.330,.385,.710,1.095
FCL Astros,Rookie,Leading Off,8,6,,2,0,0,0,0,1,2,,,1,.333,.500,.333,.833
Sugar Land Skeeters,Triple-A,Leading Off,29,28,,10,1,1,4,4,0,6,,,1,.357,.379,.893,1.272
FCL Astros,Rookie,Late / Close,3,3,,1,0,0,0,0,0,2,,,0,.333,.333,.333,.666
Sugar Land Skeeters,Triple-A,Late / Close,11,11,,4,0,0,1,4,0,3,,,0,.364,.364,.636,1.000
