Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,Tri-City ValleyCats,NYP,A(Short),2B,4,4,35.0,15,5,9,1,1,,.933
2018,Tri-City ValleyCats,NYP,A(Short),SS,32,32,269.0,111,38,64,9,13,,.919
2019,2 Teams,,Minors,2B,13,13,106.2,52,23,27,2,8,,.962
2019,2 Teams,,Minors,SS,89,89,756.1,286,113,164,9,26,,.969
2019,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2019,2 Teams,,Minors,2B,13,13,106.2,52,23,27,2,8,,.962
2019,2 Teams,,Minors,SS,89,89,756.1,286,113,164,9,26,,.969
2019,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2019,Quad Cities River Bandits,MID,A(Full),2B,2,2,16.0,5,2,3,0,2,,1.000
2019,Quad Cities River Bandits,MID,A(Full),SS,60,60,512.1,203,83,114,6,19,,.970
2019,Quad Cities River Bandits,MID,A(Full),DH,4,4,0.0,0,0,0,0,0,,.000
2019,Fayetteville Woodpeckers,CAR,A(Adv),2B,11,11,90.2,47,21,24,2,6,,.957
2019,Fayetteville Woodpeckers,CAR,A(Adv),3B,1,1,7.0,2,0,2,0,0,,1.000
2019,Fayetteville Woodpeckers,CAR,A(Adv),SS,29,29,244.0,83,30,50,3,7,,.964
2019,Fayetteville Woodpeckers,CAR,A(Adv),DH,2,2,0.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,DH,5,5,0.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,SS,30,29,252.0,116,35,77,4,10,,.966
2021,2 Teams,,Minors,DH,5,5,0.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,SS,30,29,252.0,116,35,77,4,10,,.966
2021,FCL Astros,GCL,ROK,SS,5,4,32.0,16,6,9,1,2,,.938
2021,FCL Astros,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2021,Sugar Land Skeeters,PCL,AAA,3B,2,2,18.0,2,0,2,0,1,,1.000
2021,Sugar Land Skeeters,PCL,AAA,SS,25,25,220.0,100,29,68,3,8,,.970
2021,Sugar Land Skeeters,PCL,AAA,DH,3,3,0.0,0,0,0,0,0,,.000
,FCL Astros Blue,GCL,ROK,SS,5,4,32.0,16,6,9,1,2,,.938
,FCL Astros Blue,GCL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,Sugar Land Space Cowboys,PCL,AAA,3B,2,2,18.0,2,0,2,0,1,,1.000
,Sugar Land Space Cowboys,PCL,AAA,SS,25,25,220.0,100,29,68,3,8,,.970
,Sugar Land Space Cowboys,PCL,AAA,DH,3,3,0.0,0,0,0,0,0,,.000
,Fayetteville Woodpeckers,CAR,A+,2B,11,11,90.2,47,21,24,2,6,,.957
,Fayetteville Woodpeckers,CAR,A+,3B,1,1,7.0,2,0,2,0,0,,1.000
,Fayetteville Woodpeckers,CAR,A+,SS,29,29,244.0,83,30,50,3,7,,.964
,Fayetteville Woodpeckers,CAR,A+,DH,2,2,0.0,0,0,0,0,0,,.000
,Quad Cities River Bandits,MID,A,2B,2,2,16.0,5,2,3,0,2,,1.000
,Quad Cities River Bandits,MID,A,SS,60,60,512.1,203,83,114,6,19,,.970
,Quad Cities River Bandits,MID,A,DH,4,4,0.0,0,0,0,0,0,,.000
,Tri-City ValleyCats,NYP,A(Short),2B,4,4,35.0,15,5,9,1,1,,.933
,Tri-City ValleyCats,NYP,A(Short),SS,32,32,269.0,111,38,64,9,13,,.919
,3 Teams,,Minors,2B,17,17,141.2,67,28,36,3,9,,.955
,2 Teams,,Minors,3B,3,3,25.0,4,0,4,0,1,,1.000
,5 Teams,,Minors,SS,151,150,1277.1,513,186,305,22,49,,.957
,4 Teams,,Minors,DH,11,11,0.0,0,0,0,0,0,,.000
,3 Teams,,Minors,2B,17,17,141.2,67,28,36,3,9,,.955
,2 Teams,,Minors,3B,3,3,25.0,4,0,4,0,1,,1.000
,5 Teams,,Minors,SS,151,150,1277.1,513,186,305,22,49,,.957
Career Minors,4 Teams,,,DH,11,11,0.0,0,0,0,0,0,,.000
