Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,TEX,AL,P,12,6,38.0,3,1,2,0,0,,1.000
2013,TEX,AL,P,20,20,124.1,27,4,22,1,1,,.963
2014,TEX,AL,P,8,8,51.1,6,1,5,0,1,,1.000
2015,TEX,AL,P,14,14,78.2,12,5,6,1,1,,.917
2016,TEX,AL,P,33,33,198.2,35,9,25,1,3,,.971
2017,TEX,AL,P,32,32,185.0,27,6,19,2,1,,.926
2018,TEX,AL,P,22,15,85.1,8,1,7,0,1,,1.000
2019,MIN,AL,P,32,29,165.1,30,9,19,2,0,,.933
2020,BOS,AL,P,12,12,62.0,3,0,3,0,0,,1.000
2021,BOS,AL,P,36,22,114.0,17,3,14,0,2,,1.000
2022,TEX,AL,P,32,32,196.1,27,6,19,2,1,,.926
11 Seasons,3 Teams,,P,253,223,1299.0,195,45,141,9,11,,.954
