Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2008,Spokane Indians,NOR,A(Short),P,15,15,61.2,14,0,10,4,0,,.714
2009,2 Teams,,Minors,P,27,19,114.2,15,2,13,0,1,,1.000
2009,2 Teams,,Minors,P,27,19,114.2,15,2,13,0,1,,1.000
2009,2 Teams,,Minors,P,27,19,114.2,15,2,13,0,1,,1.000
2009,Hickory Crawdads,SAL,A(Full),P,22,14,93.2,13,2,11,0,1,,1.000
2009,Frisco RoughRiders,TEX,AA,P,5,5,21.0,2,0,2,0,0,,1.000
2010,Frisco RoughRiders,TEX,AA,P,24,23,99.2,13,3,8,2,1,,.846
2011,2 Teams,,Minors,P,27,26,137.1,25,9,16,0,2,,1.000
2011,2 Teams,,Minors,P,27,26,137.1,25,9,16,0,2,,1.000
2011,2 Teams,,Minors,P,27,26,137.1,25,9,16,0,2,,1.000
2011,Frisco RoughRiders,TEX,AA,P,17,16,88.1,19,7,12,0,2,,1.000
2011,Round Rock Express,PCL,AAA,P,10,10,49.0,6,2,4,0,0,,1.000
2012,Round Rock Express,PCL,AAA,P,22,21,127.0,21,4,15,2,2,,.905
2013,2 Teams,,Minors,P,8,8,43.1,13,1,11,1,0,,.923
2013,2 Teams,,Minors,P,8,8,43.1,13,1,11,1,0,,.923
2013,2 Teams,,Minors,P,8,8,43.1,13,1,11,1,0,,.923
2013,Frisco RoughRiders,TEX,AA,P,2,2,7.1,2,0,2,0,0,,1.000
2013,Round Rock Express,PCL,AAA,P,6,6,36.0,11,1,9,1,0,,.909
2015,2 Teams,,Minors,P,6,6,25.2,4,1,3,0,0,,1.000
2015,2 Teams,,Minors,P,6,6,25.2,4,1,3,0,0,,1.000
2015,2 Teams,,Minors,P,6,6,25.2,4,1,3,0,0,,1.000
2015,Frisco RoughRiders,TEX,AA,P,2,2,5.2,1,0,1,0,0,,1.000
2015,Round Rock Express,PCL,AAA,P,4,4,20.0,3,1,2,0,0,,1.000
2018,3 Teams,,Minors,P,3,3,17.1,2,0,2,0,0,,1.000
2018,3 Teams,,Minors,P,3,3,17.1,2,0,2,0,0,,1.000
2018,3 Teams,,Minors,P,3,3,17.1,2,0,2,0,0,,1.000
2018,Hickory Crawdads,SAL,A(Full),P,1,1,5.0,0,0,0,0,0,,.000
2018,Frisco RoughRiders,TEX,AA,P,1,1,6.0,1,0,1,0,0,,1.000
2018,Round Rock Express,PCL,AAA,P,1,1,6.1,1,0,1,0,0,,1.000
2021,Worcester Red Sox,INT,AAA,P,1,0,1.0,0,0,0,0,0,,.000
,2 Teams,,AAA,P,44,42,239.1,42,8,31,3,2,,.929
,Frisco RoughRiders,TEX,AA,P,51,49,228.0,38,10,26,2,3,,.947
,Hickory Crawdads,SAL,A,P,23,15,98.2,13,2,11,0,1,,1.000
,Spokane Indians,NOR,A(Short),P,15,15,61.2,14,0,10,4,0,,.714
,5 Teams,,Minors,P,133,121,627.2,107,20,78,9,6,,.916
,5 Teams,,Minors,P,133,121,627.2,107,20,78,9,6,,.916
Career Minors,5 Teams,,,P,133,121,627.2,107,20,78,9,6,,.916
