Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Cincinnati Reds,MLB,April,77,68,10,15,4,0,3,6,9,18,1,0,0,.221,.312,.412,.724
Cincinnati Reds,MLB,May,99,82,16,20,2,0,2,11,15,24,2,0,0,.244,.354,.341,.695
Cincinnati Reds,MLB,June,105,92,20,26,3,0,6,16,11,26,3,0,1,.283,.362,.511,.873
Cincinnati Reds,MLB,July,106,98,11,20,2,1,0,6,7,32,1,2,0,.204,.255,.245,.500
Boston Red Sox,MLB,August,112,106,19,31,8,0,4,15,5,32,0,1,1,.292,.330,.481,.811
Boston Red Sox,MLB,September,108,94,13,19,4,0,2,9,8,31,1,0,5,.202,.296,.309,.605
Boston Red Sox,MLB,October,15,14,0,0,0,0,0,0,1,4,0,0,0,.000,.067,.000,.067
Cincinnati Reds,MLB,Pre All-Star,346,302,53,73,10,1,11,36,40,86,7,1,1,.242,.329,.391,.720
Boston Red Sox,MLB,Post All-Star,235,214,32,50,12,0,6,24,14,67,1,1,6,.234,.298,.374,.672
Cincinnati Reds,MLB,Post All-Star,41,38,4,8,1,0,0,3,2,14,0,1,0,.211,.244,.237,.481
