Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2009,South Bend Silver Hawks,MID,A(Full),CF,62,62,536.0,172,166,5,1,1,,.994
2009,South Bend Silver Hawks,MID,A(Full),DH,1,1,0.0,0,0,0,0,0,,.000
2011,Mobile BayBears,SOU,AA,CF,127,124,1094.0,270,265,4,1,1,,.996
2011,Mobile BayBears,SOU,AA,RF,5,5,47.2,10,10,0,0,0,,1.000
2011,Mobile BayBears,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2012,Reno Aces,PCL,AAA,LF,16,14,120.1,17,16,0,1,0,,.941
2012,Reno Aces,PCL,AAA,CF,63,61,547.2,167,161,3,3,2,,.982
2012,Reno Aces,PCL,AAA,RF,29,29,246.2,56,53,3,0,1,,1.000
2014,2 Teams,,Minors,CF,15,15,114.0,32,27,2,3,0,,.906
2014,2 Teams,,Minors,CF,15,15,114.0,32,27,2,3,0,,.906
2014,ACL D-backs,AZL,ROK,CF,2,2,9.0,1,1,0,0,0,,1.000
2014,Reno Aces,PCL,AAA,CF,13,13,105.0,31,26,2,3,0,,.903
2016,2 Teams,,Minors,CF,6,6,47.0,14,14,0,0,0,,1.000
2016,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2016,2 Teams,,Minors,CF,6,6,47.0,14,14,0,0,0,,1.000
2016,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2016,ACL D-backs,AZL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2016,Visalia Rawhide,CAL,A(Adv),CF,2,2,11.0,6,6,0,0,0,,1.000
2016,Visalia Rawhide,CAL,A(Adv),DH,4,4,0.0,0,0,0,0,0,,.000
2016,Reno Aces,PCL,AAA,CF,4,4,36.0,8,8,0,0,0,,1.000
2017,Reno Aces,PCL,AAA,CF,7,7,34.0,11,11,0,0,0,,1.000
2018,Reno Aces,PCL,AAA,CF,2,2,11.0,0,0,0,0,0,,.000
2019,Rancho Cucamonga Quakes,CAL,A(Adv),CF,4,4,20.0,4,4,0,0,0,,1.000
2019,Rancho Cucamonga Quakes,CAL,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2021,Rancho Cucamonga Quakes,CAL,A,LF,3,3,14.0,2,2,0,0,0,,1.000
2021,Rancho Cucamonga Quakes,CAL,A,DH,1,1,0.0,0,0,0,0,0,,.000
,ACL D-backs Black,AZL,ROK,CF,2,2,9.0,1,1,0,0,0,,1.000
,ACL D-backs Black,AZL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,Reno Aces,PCL,AAA,LF,16,14,120.1,17,16,0,1,0,,.941
,Reno Aces,PCL,AAA,CF,89,87,733.2,217,206,5,6,2,,.972
,Reno Aces,PCL,AAA,RF,29,29,246.2,56,53,3,0,1,,1.000
,Mobile BayBears,SOU,AA,CF,127,124,1094.0,270,265,4,1,1,,.996
,Mobile BayBears,SOU,AA,RF,5,5,47.2,10,10,0,0,0,,1.000
,Mobile BayBears,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
,2 Teams,,A+,CF,6,6,31.0,10,10,0,0,0,,1.000
,2 Teams,,A+,DH,5,5,0.0,0,0,0,0,0,,.000
,Rancho Cucamonga Quakes,CAL,A,LF,3,3,14.0,2,2,0,0,0,,1.000
,2 Teams,,A,DH,2,2,0.0,0,0,0,0,0,,.000
,South Bend Cubs,MID,A,CF,62,62,536.0,172,166,5,1,1,,.994
,2 Teams,,Minors,LF,19,17,134.1,19,18,0,1,0,,.947
,4 Teams,,Minors,CF,280,275,2372.2,660,638,14,8,4,,.988
,2 Teams,,Minors,RF,34,34,294.1,66,63,3,0,1,,1.000
,2 Teams,,Minors,DH,3,3,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,19,17,134.1,19,18,0,1,0,,.947
,4 Teams,,Minors,CF,280,275,2372.2,660,638,14,8,4,,.988
,2 Teams,,Minors,RF,34,34,294.1,66,63,3,0,1,,1.000
Career Minors,2 Teams,,,DH,3,3,0.0,0,0,0,0,0,,.000
