Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2012,TEX,AL,17,8,10,0,0,.167,3,1,1,51,3.000,.235,.059,.---,.294,0,0
2013,TEX,AL,324,96,114,6,1,.280,17,1,37,1358,4.191,.194,.019,.413,.101,4,1
2016,TEX,AL,307,92,99,2,0,.291,14,7,36,1307,4.257,.199,.016,.492,.099,0,0
2017,TEX,AL,70,12,23,2,0,.227,2,0,7,279,3.986,.200,.000,.643,.034,2,0
2018,TEX,AL,594,240,249,0,4,.269,61,9,84,2340,3.939,.148,.034,.614,.204,3,0
2019,OAK,AL,518,188,229,0,3,.218,46,12,82,2061,3.979,.145,.039,.640,.192,1,0
2020,SD,NL,202,77,78,1,2,.293,13,1,32,837,4.144,.139,.035,.536,.150,2,1
2021,SD,NL,412,113,163,1,2,.266,23,12,64,1734,4.209,.158,.010,.754,.093,5,0
2022,SD,NL,658,225,212,3,3,.272,53,12,79,2790,4.240,.157,.023,.709,.148,4,0
9 Seasons,3 Teams,,3102,1051,1177,15,15,.264,232,55,422,12757,4.113,.162,.025,.607,.148,21,2
