Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,TEX,AL,2B,5,2,24.0,8,3,5,0,1,,1.000
2012,TEX,AL,SS,3,2,20.0,3,0,3,0,0,,1.000
2013,TEX,AL,2B,32,29,268.2,133,54,75,4,16,,.970
2013,TEX,AL,3B,10,10,88.0,26,8,16,2,1,,.923
2013,TEX,AL,SS,18,16,147.2,67,22,43,2,9,,.970
2013,TEX,AL,LF,4,4,34.0,8,8,0,0,0,,1.000
2013,TEX,AL,DH,19,16,0.0,0,0,0,0,0,,.000
2016,TEX,AL,1B,17,13,101.0,121,111,10,0,12,,1.000
2016,TEX,AL,2B,19,15,139.0,92,35,55,2,14,,.978
2016,TEX,AL,3B,25,16,156.0,46,9,33,4,1,,.913
2016,TEX,AL,SS,11,10,89.2,38,11,26,1,9,,.974
2016,TEX,AL,LF,14,8,75.0,12,11,1,0,0,,1.000
2016,TEX,AL,DH,6,5,0.0,0,0,0,0,0,,.000
2017,TEX,AL,1B,2,0,4.0,1,1,0,0,0,,1.000
2017,TEX,AL,2B,1,0,2.0,4,1,3,0,1,,1.000
2017,TEX,AL,3B,3,2,19.0,6,0,6,0,0,,1.000
2017,TEX,AL,SS,4,4,35.0,17,3,14,0,3,,1.000
2017,TEX,AL,LF,12,12,100.1,21,20,1,0,1,,1.000
2018,TEX,AL,1B,24,20,173.2,208,201,7,0,23,,1.000
2018,TEX,AL,2B,10,9,79.0,46,18,27,1,13,,.978
2018,TEX,AL,3B,51,46,410.0,135,39,85,11,9,,.919
2018,TEX,AL,SS,68,61,544.2,218,57,148,13,29,,.940
2018,TEX,AL,LF,1,0,1.0,0,0,0,0,0,,.000
2018,TEX,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2019,OAK,AL,1B,1,1,9.0,7,6,1,0,2,,1.000
2019,OAK,AL,2B,124,115,1024.0,479,221,245,13,63,,.973
2019,OAK,AL,LF,7,5,46.0,8,8,0,0,0,,1.000
2019,OAK,AL,DH,8,5,0.0,0,0,0,0,0,,.000
2020,SD,NL,1B,1,0,2.0,1,1,0,0,0,,1.000
2020,SD,NL,2B,17,16,138.0,48,18,29,1,7,,.979
2020,SD,NL,LF,36,32,282.1,49,46,3,0,0,,1.000
2020,SD,NL,CF,1,1,9.0,2,2,0,0,0,,1.000
2020,SD,NL,RF,2,1,13.0,4,4,0,0,0,,1.000
2020,SD,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,SD,NL,1B,20,12,127.1,114,108,5,1,11,,.991
2021,SD,NL,2B,10,6,59.2,31,10,19,2,3,,.935
2021,SD,NL,LF,36,28,257.1,56,53,2,1,1,,.982
2021,SD,NL,CF,20,19,147.2,36,35,1,0,1,,1.000
2021,SD,NL,RF,29,24,195.1,35,32,1,2,0,,.943
2022,SD,NL,LF,146,141,1237.2,243,229,10,4,2,,.984
2022,SD,NL,DH,6,6,0.0,0,0,0,0,0,,.000
9 Seasons,3 Teams,,1B,65,46,417.0,452,428,23,1,48,,.998
,3 Teams,,2B,218,192,1734.1,841,360,458,23,118,,.973
,3 Teams,,LF,256,230,2033.2,397,375,17,5,4,,.987
,3 Teams,,DH,41,34,0.0,0,0,0,0,0,,.000
,SD,NL,CF,21,20,156.2,38,37,1,0,1,,1.000
,SD,NL,RF,31,25,208.1,39,36,1,2,0,,.949
,TEX,AL,3B,89,74,673.0,213,56,140,17,11,,.920
,TEX,AL,SS,104,93,837.0,343,93,234,16,50,,.953
