Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,3 Teams,,Minors,P,12,12,37.0,6,2,3,1,1,,.833
2016,3 Teams,,Minors,P,12,12,37.0,6,2,3,1,1,,.833
2016,3 Teams,,Minors,P,12,12,37.0,6,2,3,1,1,,.833
2016,AZL Padres,AZL,ROK,P,5,5,13.2,2,0,2,0,0,,1.000
2016,Tri-City Dust Devils,NWL,A(Short),P,5,5,18.2,3,1,1,1,1,,.667
2016,Fort Wayne TinCaps,MID,A(Full),P,2,2,4.2,1,1,0,0,0,,1.000
2017,2 Teams,,Minors,P,22,22,116.0,26,7,19,0,4,,1.000
2017,2 Teams,,Minors,P,22,22,116.0,26,7,19,0,4,,1.000
2017,2 Teams,,Minors,P,22,22,116.0,26,7,19,0,4,,1.000
2017,Lake Elsinore Storm,CAL,A(Adv),P,14,14,73.2,17,4,13,0,3,,1.000
2017,San Antonio Missions,TEX,AA,P,8,8,42.1,9,3,6,0,1,,1.000
2018,2 Teams,,Minors,P,28,28,148.0,18,2,15,1,1,,.944
2018,2 Teams,,Minors,P,28,28,148.0,18,2,15,1,1,,.944
2018,2 Teams,,Minors,P,28,28,148.0,18,2,15,1,1,,.944
2018,San Antonio Missions,TEX,AA,P,22,22,117.0,14,2,11,1,0,,.929
2018,El Paso Chihuahuas,PCL,AAA,P,6,6,31.0,4,0,4,0,1,,1.000
2019,El Paso Chihuahuas,PCL,AAA,P,7,7,35.2,10,2,8,0,0,,1.000
,ACL Padres,AZL,ROK,P,5,5,13.2,2,0,2,0,0,,1.000
,El Paso Chihuahuas,PCL,AAA,P,13,13,66.2,14,2,12,0,1,,1.000
,San Antonio Missions,TEX,AA,P,30,30,159.1,23,5,17,1,1,,.957
,Lake Elsinore Storm,CAL,A+,P,14,14,73.2,17,4,13,0,3,,1.000
,Fort Wayne TinCaps,MID,A,P,2,2,4.2,1,1,0,0,0,,1.000
,Tri-City Dust Devils,NWL,A(Short),P,5,5,18.2,3,1,1,1,1,,.667
,6 Teams,,Minors,P,69,69,336.2,60,13,45,2,6,,.967
,6 Teams,,Minors,P,69,69,336.2,60,13,45,2,6,,.967
Career Minors,6 Teams,,,P,69,69,336.2,60,13,45,2,6,,.967
