Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Ramírez, José - LHB",2015,0.00,0.53,0.81,1.06,1.29,1.51,1.72,1.93,2.12,2.31,2.49,2.67,2.85,3.02,3.19,3.37,3.54,3.72,3.91
"Ramírez, José - RHB",2015,0.00,0.52,0.82,1.07,1.30,1.53,1.74,1.94,2.13,2.32,2.50,2.68,2.86,3.03,3.21,3.38,3.55,3.72,3.88
"Ramírez, José - LHB",2016,0.00,0.52,0.81,1.06,1.30,1.52,1.72,1.92,2.11,2.30,2.48,2.66,2.83,3.00,3.18,3.35,3.52,3.70,3.90
"Ramírez, José - RHB",2016,0.00,0.55,0.84,1.10,1.34,1.56,1.77,1.97,2.17,2.35,2.54,2.71,2.89,3.07,3.24,3.41,3.59,3.77,3.96
"Ramírez, José - LHB",2017,0.00,0.53,0.81,1.07,1.30,1.52,1.72,1.92,2.11,2.29,2.47,2.65,2.82,2.99,3.16,3.33,3.51,3.70,3.90
"Ramírez, José - RHB",2017,0.00,0.55,0.84,1.10,1.34,1.56,1.76,1.96,2.15,2.34,2.52,2.70,2.87,3.05,3.22,3.39,3.56,3.74,3.93
"Ramírez, José - LHB",2018,0.00,0.53,0.82,1.08,1.31,1.53,1.74,1.94,2.13,2.31,2.50,2.67,2.85,3.03,3.20,3.38,3.56,3.74,3.94
"Ramírez, José - RHB",2018,0.00,0.55,0.84,1.09,1.33,1.55,1.75,1.95,2.14,2.33,2.51,2.68,2.86,3.03,3.20,3.37,3.54,3.72,3.90
"Ramírez, José - LHB",2019,0.00,0.53,0.82,1.08,1.32,1.54,1.75,1.95,2.14,2.32,2.50,2.68,2.86,3.03,3.20,3.38,3.56,3.74,3.93
"Ramírez, José - RHB",2019,0.00,0.55,0.84,1.09,1.33,1.55,1.76,1.96,2.15,2.34,2.52,2.69,2.87,3.05,3.22,3.39,3.56,3.74,3.91
"Ramírez, José - LHB",2020,0.00,0.55,0.86,1.12,1.36,1.58,1.78,1.98,2.17,2.36,2.54,2.73,2.90,3.08,3.27,3.45,3.64,3.85,4.06
"Ramírez, José - LHB",2021,0.00,0.54,0.84,1.09,1.32,1.54,1.74,1.93,2.12,2.31,2.48,2.66,2.83,3.00,3.18,3.35,3.52,3.71,3.90
"Ramírez, José - RHB",2021,0.00,0.57,0.89,1.15,1.38,1.60,1.80,2.00,2.19,2.38,2.56,2.73,2.91,3.08,3.25,3.42,3.58,3.75,3.92
"Ramírez, José - LHB",2022,0.00,0.54,0.84,1.09,1.32,1.53,1.74,1.93,2.12,2.30,2.48,2.65,2.83,3.00,3.17,3.34,3.51,3.69,3.87
"Ramírez, José - RHB",2022,0.00,0.56,0.89,1.16,1.39,1.61,1.82,2.01,2.20,2.38,2.57,2.74,2.92,3.09,3.25,3.42,3.59,3.75,3.93

