Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Reno Aces,Triple-A,Bases Empty,,,,1,,,3.0,11,1,,,0,1,7,0.67
Visalia Rawhide,Class A Advanced,Bases Empty,,,,1,,,1.2,8,2,,,0,0,2,1.20
Reno Aces,Triple-A,Runner at 1st,,,,1,,,0.1,2,1,,,0,0,1,3.00
Visalia Rawhide,Class A Advanced,Runner at 1st,,,,1,,,0.1,1,0,,,0,0,0,0.00
Reno Aces,Triple-A,Runners at 1st & 3rd,,,,1,,,0.1,2,1,,,0,0,0,3.00
Reno Aces,Triple-A,Runner at 2nd,,,,1,,,0.1,1,0,,,0,0,1,0.00
Visalia Rawhide,Class A Advanced,Runner at 2nd,,,,1,,,0.1,4,2,,,1,0,1,6.00
Reno Aces,Triple-A,Runner at 3rd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Visalia Rawhide,Class A Advanced,Runner at 3rd,,,,1,,,0.0,1,1,,,1,0,0,-.--
Reno Aces,Triple-A,Scoring Position,,,,1,,,1.0,4,1,,,0,0,1,1.00
Visalia Rawhide,Class A Advanced,Scoring Position,,,,1,,,0.1,5,3,,,2,0,1,9.00
