Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,2 Teams,,Minors,RF,41,41,355.2,72,65,4,3,1,,.958
2013,Eugene Emeralds,NWL,A(Short),RF,25,25,221.2,46,41,4,1,1,,.978
2013,Fort Wayne TinCaps,MID,A(Full),RF,16,16,134.0,26,24,0,2,0,,.923
2013,Fort Wayne TinCaps,MID,A(Full),DH,1,1,0.0,0,0,0,0,0,,.000
2014,2 Teams,,Minors,DH,4,4,0.0,0,0,0,0,0,,.000
2014,2 Teams,,Minors,RF,72,69,639.2,134,118,11,5,0,,.963
2014,2 Teams,,Minors,CF,26,25,226.0,62,58,2,2,2,,.968
2014,Lake Elsinore Storm,CAL,A(Adv),CF,4,4,38.0,18,17,1,0,1,,1.000
2014,Lake Elsinore Storm,CAL,A(Adv),RF,62,62,566.2,111,97,9,5,0,,.955
2014,Lake Elsinore Storm,CAL,A(Adv),DH,3,3,0.0,0,0,0,0,0,,.000
2014,San Antonio Missions,TEX,AA,LF,30,28,262.0,45,38,3,4,0,,.911
2014,San Antonio Missions,TEX,AA,CF,22,21,188.0,44,41,1,2,1,,.955
2014,San Antonio Missions,TEX,AA,RF,10,7,73.0,23,21,2,0,0,,1.000
2014,San Antonio Missions,TEX,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,RF,97,95,826.0,216,196,14,6,4,,.972
2015,2 Teams,,Minors,CF,11,11,88.0,25,21,1,3,0,,.880
2015,San Antonio Missions,TEX,AA,LF,3,3,29.1,2,1,1,0,0,,1.000
2015,San Antonio Missions,TEX,AA,CF,8,8,68.1,11,11,0,0,0,,1.000
2015,San Antonio Missions,TEX,AA,RF,79,78,675.0,177,158,13,6,4,,.966
2015,San Antonio Missions,TEX,AA,DH,20,19,0.0,0,0,0,0,0,,.000
2015,El Paso Chihuahuas,PCL,AAA,CF,3,3,19.2,14,10,1,3,0,,.786
2015,El Paso Chihuahuas,PCL,AAA,RF,18,17,151.0,39,38,1,0,0,,1.000
2016,El Paso Chihuahuas,PCL,AAA,LF,6,6,55.0,7,7,0,0,0,,1.000
2016,El Paso Chihuahuas,PCL,AAA,CF,12,10,82.0,18,17,0,1,0,,.944
2016,El Paso Chihuahuas,PCL,AAA,RF,111,106,921.0,214,195,17,2,1,,.991
2016,El Paso Chihuahuas,PCL,AAA,DH,6,6,0.0,0,0,0,0,0,,.000
2017,El Paso Chihuahuas,PCL,AAA,RF,12,12,102.1,28,24,2,2,0,,.929
2017,El Paso Chihuahuas,PCL,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
2018,El Paso Chihuahuas,PCL,AAA,RF,9,9,81.0,25,23,2,0,0,,1.000
2018,El Paso Chihuahuas,PCL,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,El Paso Chihuahuas,PCL,AAA,LF,6,6,55.0,7,7,0,0,0,,1.000
,El Paso Chihuahuas,PCL,AAA,CF,15,13,101.2,32,27,1,4,0,,.875
,El Paso Chihuahuas,PCL,AAA,RF,150,144,1255.1,306,280,22,4,1,,.987
,El Paso Chihuahuas,PCL,AAA,DH,8,8,0.0,0,0,0,0,0,,.000
,San Antonio Missions,TEX,AA,LF,33,31,291.1,47,39,4,4,0,,.915
,San Antonio Missions,TEX,AA,CF,30,29,256.1,55,52,1,2,1,,.964
,San Antonio Missions,TEX,AA,RF,89,85,748.0,200,179,15,6,4,,.970
,San Antonio Missions,TEX,AA,DH,21,20,0.0,0,0,0,0,0,,.000
,Lake Elsinore Storm,CAL,A+,CF,4,4,38.0,18,17,1,0,1,,1.000
,Lake Elsinore Storm,CAL,A+,RF,62,62,566.2,111,97,9,5,0,,.955
,Lake Elsinore Storm,CAL,A+,DH,3,3,0.0,0,0,0,0,0,,.000
,Fort Wayne TinCaps,MID,A,RF,16,16,134.0,26,24,0,2,0,,.923
,Fort Wayne TinCaps,MID,A,DH,1,1,0.0,0,0,0,0,0,,.000
,Eugene Emeralds,NWL,A(Short),RF,25,25,221.2,46,41,4,1,1,,.978
,2 Teams,,Minors,LF,39,37,346.1,54,46,4,4,0,,.926
,3 Teams,,Minors,CF,49,46,396.0,105,96,3,6,2,,.943
,5 Teams,,Minors,RF,342,332,2925.2,689,621,50,18,6,,.974
Career Minors,4 Teams,,,DH,33,32,0.0,0,0,0,0,0,,.000
