Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2019,,ALL,-4,,-5,0,-2,2,1,-5,354,76%,77%,-1%
2019,,SS,-1,,-1,0,-1,0,-1,-1,47,81%,84%,-3%
2019,,2B,-3,,-4,0,-1,2,2,-5,307,75%,76%,-1%
2020,,ALL,-3,,0,-3,1,-1,0,-3,97,75%,78%,-3%
2020,,SS,-1,,-1,0,0,0,0,-1,2,50%,99%,-49%
2020,,3B,0,,0,0,0,0,0,0,2,100%,96%,4%
2020,,2B,-2,,1,-3,1,-1,0,-2,93,75%,78%,-2%
2021,,ALL,-7,,-3,-2,-3,0,-5,-2,186,74%,78%,-4%
2021,,RF,-1,,0,-1,0,0,-1,0,27,89%,92%,-3%
2021,,SS,-3,,0,-1,-2,0,-1,-1,107,78%,80%,-2%
2021,,3B,-4,,-3,1,-1,0,-3,-1,40,55%,64%,-9%
2021,,2B,0,,0,0,0,0,0,0,12,75%,76%,-1%
2022,,ALL,-8,,-5,-1,-1,0,-9,2,420,75%,77%,-2%
2022,,RF,0,,0,0,0,0,0,0,2,100%,87%,13%
2022,,SS,-2,,-2,1,-1,0,-3,1,37,70%,76%,-5%
2022,,3B,-3,,-1,1,-2,0,-1,-1,99,72%,74%,-3%
2022,,2B,-3,,-3,-3,2,0,-6,2,282,77%,78%,-1%
Career,,ALL,-22,,-13,-6,-5,2,-13,-9,1057,75%,77%,-2%
