Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Gwinnett Stripers,Triple-A,First Inning,44,41,7,11,3,0,3,6,3,11,0,0,0,.268,.318,.561,.879
Rome Braves,Class A,First Inning,3,3,0,1,0,0,0,0,0,1,0,0,0,.333,.333,.333,.666
Gwinnett Stripers,Triple-A,Second Inning,4,4,1,2,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000
Gwinnett Stripers,Triple-A,Third Inning,29,28,7,9,2,0,5,11,1,4,0,0,0,.321,.345,.929,1.274
Rome Braves,Class A,Third Inning,3,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Gwinnett Stripers,Triple-A,Fourth Inning,19,16,6,8,2,0,2,5,3,1,0,0,0,.500,.579,1.000,1.579
Rome Braves,Class A,Fourth Inning,2,2,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Gwinnett Stripers,Triple-A,Fifth Inning,24,20,5,4,2,0,0,3,4,3,0,0,0,.200,.333,.300,.633
Rome Braves,Class A,Fifth Inning,1,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Gwinnett Stripers,Triple-A,Sixth Inning,24,20,4,6,1,0,2,4,4,4,0,0,0,.300,.417,.650,1.067
Rome Braves,Class A,Sixth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Gwinnett Stripers,Triple-A,Seventh Inning,18,16,3,5,2,0,1,5,2,4,0,0,0,.313,.389,.625,1.014
Gwinnett Stripers,Triple-A,Eighth Inning,24,22,5,5,1,0,2,6,2,9,0,0,0,.227,.292,.545,.837
Gwinnett Stripers,Triple-A,Ninth Inning,7,6,1,1,0,0,0,1,1,2,0,0,0,.167,.286,.167,.453
Gwinnett Stripers,Triple-A,Extra Innings,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
