Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Charlotte Knights,Triple-A,First Inning,,,0.00,3,,,3.0,10,1,0,0,0,0,5,0.33
Kannapolis Intimidators,Class A,First Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Charlotte Knights,Triple-A,Second Inning,,,0.00,3,,,3.0,10,1,0,0,0,1,7,0.67
Kannapolis Intimidators,Class A,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,0,0.00
Charlotte Knights,Triple-A,Third Inning,,,6.75,3,,,2.2,13,4,2,2,0,1,6,1.88
Kannapolis Intimidators,Class A,Third Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Charlotte Knights,Triple-A,Fourth Inning,,,0.00,2,,,2.0,9,2,0,0,0,2,2,2.00
Kannapolis Intimidators,Class A,Fourth Inning,,,0.00,1,,,1.0,3,1,0,0,0,0,1,1.00
Charlotte Knights,Triple-A,Fifth Inning,,,0.00,2,,,2.0,8,2,0,0,0,1,2,1.50
Kannapolis Intimidators,Class A,Fifth Inning,,,9.00,1,,,1.0,5,2,1,1,0,0,1,2.00
