Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2014,LAD,NL,162,33,74,1,0,.217,4,5,22,611,3.772,.173,.006,.357,.040,0,0
2015,MIA,NL,157,52,58,2,2,.307,9,4,23,561,3.573,.102,.006,.688,.085,3,0
2016,MIA,NL,214,63,82,6,2,.280,13,10,30,812,3.794,.126,.005,.407,.077,3,0
2017,MIA,NL,306,102,103,1,2,.324,19,6,43,1121,3.663,.105,.003,.844,.085,4,1
2018,MIA,NL,528,169,191,2,4,.272,24,23,105,1960,3.712,.131,.021,.348,.094,9,1
2019,MIA,NL,526,183,172,1,5,.314,35,15,74,1867,3.549,.118,.010,.516,.095,3,0
2020,MIA,NL,143,62,47,0,0,.330,15,1,28,532,3.720,.126,.028,.889,.192,0,0
2021,MIA,NL,539,194,161,1,1,.295,42,10,65,2001,3.712,.137,.017,.500,.127,3,0
2022,MIA,NL,507,152,164,1,3,.258,27,12,68,1816,3.582,.120,.012,.426,.087,7,0
9 Seasons,2 Teams,,3082,1010,1052,15,19,.288,188,86,458,11281,3.660,.126,.013,.501,.098,32,2
