Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2006,VSL Reds,VSL,ROK,SS,57,53,435.2,290,96,170,24,25,,.917
2007,2 Teams,,Minors,SS,33,31,246.0,155,55,94,6,19,,.961
2007,2 Teams,,Minors,2B,4,4,32.1,20,11,9,0,3,,1.000
2007,2 Teams,,Minors,SS,33,31,246.0,155,55,94,6,19,,.961
2007,2 Teams,,Minors,2B,4,4,32.1,20,11,9,0,3,,1.000
2007,2 Teams,,Minors,SS,33,31,246.0,155,55,94,6,19,,.961
2007,2 Teams,,Minors,2B,4,4,32.1,20,11,9,0,3,,1.000
2007,VSL Devil Rays/Reds,VSL,ROK,2B,2,2,17.1,8,4,4,0,1,,1.000
2007,VSL Devil Rays/Reds,VSL,ROK,SS,27,26,203.0,134,50,78,6,16,,.955
2007,VSL Devil Rays/Reds,VSL,ROK,RF,1,0,1.0,0,0,0,0,0,,.000
2007,DSL Reds,DSL,ROK,2B,2,2,15.0,12,7,5,0,2,,1.000
2007,DSL Reds,DSL,ROK,SS,6,5,43.0,21,5,16,0,3,,1.000
2007,2 Teams,,ROK,2B,4,4,32.1,20,11,9,0,3,,1.000
2007,2 Teams,,ROK,SS,33,31,246.0,155,55,94,6,19,,.961
2008,Billings Mustangs,PIO,ROK,SS,61,61,524.2,267,94,163,10,34,,.963
2009,Dayton Dragons,MID,A(Full),SS,130,128,1137.1,573,220,340,13,72,,.977
2010,3 Teams,,Minors,SS,80,80,690.1,425,145,263,17,49,,.960
2010,3 Teams,,Minors,SS,80,80,690.1,425,145,263,17,49,,.960
2010,3 Teams,,Minors,SS,80,80,690.1,425,145,263,17,49,,.960
2010,AZL Reds,AZL,ROK,SS,1,1,4.0,1,1,0,0,0,,1.000
2010,Lynchburg Hillcats,CAR,A(Adv),SS,72,72,626.1,383,128,239,16,43,,.958
2010,Lynchburg Hillcats,CAR,A(Adv),CF,1,0,0.2,0,0,0,0,0,,.000
2010,Carolina Mudcats,SOU,AA,SS,7,7,60.0,41,16,24,1,6,,.976
2011,2 Teams,,Minors,SS,53,50,422.2,229,86,138,5,23,,.978
2011,2 Teams,,Minors,SS,53,50,422.2,229,86,138,5,23,,.978
2011,2 Teams,,Minors,SS,53,50,422.2,229,86,138,5,23,,.978
2011,AZL Reds,AZL,ROK,SS,4,4,29.0,14,2,12,0,2,,1.000
2011,AZL Reds,AZL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
2011,Carolina Mudcats,SOU,AA,2B,7,6,51.1,30,17,12,1,5,,.967
2011,Carolina Mudcats,SOU,AA,3B,10,9,85.0,36,11,23,2,2,,.944
2011,Carolina Mudcats,SOU,AA,SS,49,46,393.2,215,84,126,5,21,,.977
2012,2 Teams,,Minors,DH,2,1,0.0,0,0,0,0,0,,.000
2012,2 Teams,,Minors,2B,28,21,187.1,114,43,70,1,19,,.991
2012,2 Teams,,Minors,SS,46,41,354.2,202,73,124,5,30,,.975
2012,2 Teams,,Minors,DH,2,1,0.0,0,0,0,0,0,,.000
2012,2 Teams,,Minors,2B,28,21,187.1,114,43,70,1,19,,.991
2012,2 Teams,,Minors,SS,46,41,354.2,202,73,124,5,30,,.975
2012,2 Teams,,Minors,DH,2,1,0.0,0,0,0,0,0,,.000
2012,2 Teams,,Minors,2B,28,21,187.1,114,43,70,1,19,,.991
2012,2 Teams,,Minors,SS,46,41,354.2,202,73,124,5,30,,.975
2012,Pensacola Blue Wahoos,SOU,AA,1B,4,2,21.0,13,12,1,0,1,,1.000
2012,Pensacola Blue Wahoos,SOU,AA,2B,25,18,160.1,98,40,57,1,17,,.990
2012,Pensacola Blue Wahoos,SOU,AA,3B,14,10,82.2,19,13,6,0,2,,1.000
2012,Pensacola Blue Wahoos,SOU,AA,SS,9,8,69.0,41,8,30,3,3,,.927
2012,Pensacola Blue Wahoos,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2012,Louisville Bats,INT,AAA,2B,3,3,27.0,16,3,13,0,2,,1.000
2012,Louisville Bats,INT,AAA,SS,37,33,285.2,161,65,94,2,27,,.988
2012,Louisville Bats,INT,AAA,DH,1,0,0.0,0,0,0,0,0,,.000
2013,Chattanooga Lookouts,SOU,AA,2B,3,3,22.0,7,1,6,0,1,,1.000
2013,Chattanooga Lookouts,SOU,AA,SS,129,121,1052.2,591,172,403,16,89,,.973
2014,Albuquerque Isotopes,PCL,AAA,2B,8,7,61.0,45,14,30,1,5,,.978
2014,Albuquerque Isotopes,PCL,AAA,3B,16,14,131.0,41,12,29,0,4,,1.000
2014,Albuquerque Isotopes,PCL,AAA,SS,23,21,174.1,87,30,57,0,12,,1.000
2015,New Orleans Zephyrs,PCL,AAA,3B,1,1,9.0,3,0,3,0,1,,1.000
2015,New Orleans Zephyrs,PCL,AAA,SS,63,61,531.1,299,98,195,6,47,,.980
2017,2 Teams,,Minors,SS,3,3,24.0,15,4,11,0,4,,1.000
2017,2 Teams,,Minors,1B,2,2,18.0,20,17,3,0,2,,1.000
2017,2 Teams,,Minors,SS,3,3,24.0,15,4,11,0,4,,1.000
2017,2 Teams,,Minors,1B,2,2,18.0,20,17,3,0,2,,1.000
2017,2 Teams,,Minors,SS,3,3,24.0,15,4,11,0,4,,1.000
2017,2 Teams,,Minors,1B,2,2,18.0,20,17,3,0,2,,1.000
2017,Jupiter Hammerheads,FSL,A(Adv),1B,1,1,9.0,10,9,1,0,1,,1.000
2017,Jupiter Hammerheads,FSL,A(Adv),2B,3,3,23.0,18,10,8,0,4,,1.000
2017,Jupiter Hammerheads,FSL,A(Adv),3B,1,1,7.0,4,2,2,0,0,,1.000
2017,Jupiter Hammerheads,FSL,A(Adv),SS,2,2,15.0,12,4,8,0,3,,1.000
2017,Jupiter Hammerheads,FSL,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2017,Jacksonville Jumbo Shrimp,SOU,AA,1B,1,1,9.0,10,8,2,0,1,,1.000
2017,Jacksonville Jumbo Shrimp,SOU,AA,SS,1,1,9.0,3,0,3,0,1,,1.000
2019,2 Teams,,Minors,SS,5,5,36.0,15,5,10,0,1,,1.000
2019,2 Teams,,Minors,SS,5,5,36.0,15,5,10,0,1,,1.000
2019,2 Teams,,Minors,SS,5,5,36.0,15,5,10,0,1,,1.000
2019,Jupiter Hammerheads,FSL,A(Adv),SS,2,2,11.0,6,2,4,0,1,,1.000
2019,New Orleans Baby Cakes,PCL,AAA,SS,3,3,25.0,9,3,6,0,0,,1.000
2021,Jacksonville Jumbo Shrimp,INT,AAA,SS,2,2,11.0,7,2,5,0,1,,1.000
,5 Teams,,ROK,SS,156,150,1239.1,727,248,439,40,80,,.945
,2 Teams,,ROK,2B,4,4,32.1,20,11,9,0,3,,1.000
,VSL Rays,VSL,ROK,RF,1,0,1.0,0,0,0,0,0,,.000
,ACL Reds,AZL,ROK,DH,2,2,0.0,0,0,0,0,0,,.000
,2 Teams,,AAA,2B,11,10,88.0,61,17,43,1,7,,.984
,2 Teams,,AAA,3B,17,15,140.0,44,12,32,0,5,,1.000
,4 Teams,,AAA,SS,128,120,1027.1,563,198,357,8,87,,.986
,Louisville Bats,INT,AAA,DH,1,0,0.0,0,0,0,0,0,,.000
,3 Teams,,AA,2B,35,27,233.2,135,58,75,2,23,,.985
,2 Teams,,AA,3B,24,19,167.2,55,24,29,2,4,,.964
,4 Teams,,AA,SS,195,183,1584.1,891,280,586,25,120,,.972
,2 Teams,,AA,1B,5,3,30.0,23,20,3,0,2,,1.000
,Pensacola Blue Wahoos,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
,Jupiter Hammerheads,FSL,A+,1B,1,1,9.0,10,9,1,0,1,,1.000
,Jupiter Hammerheads,FSL,A+,2B,3,3,23.0,18,10,8,0,4,,1.000
,Jupiter Hammerheads,FSL,A+,3B,1,1,7.0,4,2,2,0,0,,1.000
,2 Teams,,A+,SS,76,76,652.1,401,134,251,16,47,,.960
,Jupiter Hammerheads,FSL,A+,DH,1,1,0.0,0,0,0,0,0,,.000
,Lynchburg Hillcats,CAR,A+,CF,1,0,0.2,0,0,0,0,0,,.000
,Dayton Dragons,MID,A,SS,130,128,1137.1,573,220,340,13,72,,.977
,1 Teams,,Minors,1B,1,1,9.0,10,9,1,0,1,,1.000
,1 Teams,,Minors,2B,3,3,23.0,18,10,8,0,4,,1.000
,1 Teams,,Minors,3B,1,1,7.0,4,2,2,0,0,,1.000
,1 Teams,,Minors,SS,130,128,1137.1,573,220,340,13,72,,.977
,1 Teams,,Minors,CF,1,0,0.2,0,0,0,0,0,,.000
,1 Teams,,Minors,RF,1,0,1.0,0,0,0,0,0,,.000
,4 Teams,,Minors,DH,5,4,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,1B,1,1,9.0,10,9,1,0,1,,1.000
,1 Teams,,Minors,2B,3,3,23.0,18,10,8,0,4,,1.000
,1 Teams,,Minors,3B,1,1,7.0,4,2,2,0,0,,1.000
,1 Teams,,Minors,SS,130,128,1137.1,573,220,340,13,72,,.977
,1 Teams,,Minors,CF,1,0,0.2,0,0,0,0,0,,.000
,1 Teams,,Minors,RF,1,0,1.0,0,0,0,0,0,,.000
,4 Teams,,Minors,DH,5,4,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,1B,1,1,9.0,10,9,1,0,1,,1.000
,1 Teams,,Minors,2B,3,3,23.0,18,10,8,0,4,,1.000
,1 Teams,,Minors,3B,1,1,7.0,4,2,2,0,0,,1.000
,1 Teams,,Minors,SS,130,128,1137.1,573,220,340,13,72,,.977
,1 Teams,,Minors,CF,1,0,0.2,0,0,0,0,0,,.000
,1 Teams,,Minors,RF,1,0,1.0,0,0,0,0,0,,.000
Career Minors,4 Teams,,,DH,5,4,0.0,0,0,0,0,0,,.000
