Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,Kingsport Mets,APP,ROK,SS,58,56,489.1,238,70,154,14,23,,.941
2014,2 Teams,,Minors,SS,66,64,555.1,277,73,183,21,27,,.924
2014,2 Teams,,Minors,DH,7,7,0.0,0,0,0,0,0,,.000
2014,Brooklyn Cyclones,NYP,A(Short),SS,64,62,538.1,271,73,178,20,27,,.926
2014,Brooklyn Cyclones,NYP,A(Short),DH,3,3,0.0,0,0,0,0,0,,.000
2014,Savannah Sand Gnats,SAL,A(Full),3B,1,1,9.0,1,0,1,0,0,,1.000
2014,Savannah Sand Gnats,SAL,A(Full),SS,2,2,17.0,6,0,5,1,0,,.833
2014,Savannah Sand Gnats,SAL,A(Full),DH,4,4,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,SS,104,104,931.1,537,179,341,17,68,,.968
2015,St. Lucie Mets,FSL,A(Adv),SS,102,102,910.1,527,175,335,17,65,,.968
2015,Binghamton Mets,EAS,AA,SS,2,2,21.0,10,4,6,0,3,,1.000
2016,2 Teams,,Minors,SS,113,112,983.2,498,160,315,23,64,,.954
2016,St. Lucie Mets,FSL,A(Adv),SS,60,60,523.0,293,93,189,11,44,,.962
2016,St. Lucie Mets,FSL,A(Adv),DH,6,6,0.0,0,0,0,0,0,,.000
2016,Binghamton Mets,EAS,AA,SS,53,52,460.2,205,67,126,12,20,,.941
2017,Las Vegas 51s,PCL,AAA,3B,6,6,51.1,17,6,9,2,0,,.882
2017,Las Vegas 51s,PCL,AAA,SS,88,87,764.0,358,90,251,17,49,,.953
,Kingsport Axmen,APP,ROK,SS,58,56,489.1,238,70,154,14,23,,.941
,Las Vegas Aviators,PCL,AAA,3B,6,6,51.1,17,6,9,2,0,,.882
,Las Vegas Aviators,PCL,AAA,SS,88,87,764.0,358,90,251,17,49,,.953
,Binghamton Rumble Ponies,EAS,AA,SS,55,54,481.2,215,71,132,12,23,,.944
,St. Lucie Mets,FSL,A+,SS,162,162,1433.1,820,268,524,28,109,,.966
,St. Lucie Mets,FSL,A+,DH,6,6,0.0,0,0,0,0,0,,.000
,Savannah Sand Gnats,SAL,A,3B,1,1,9.0,1,0,1,0,0,,1.000
,Savannah Sand Gnats,SAL,A,SS,2,2,17.0,6,0,5,1,0,,.833
,Savannah Sand Gnats,SAL,A,DH,4,4,0.0,0,0,0,0,0,,.000
,Brooklyn Cyclones,SAL,A(Short),SS,64,62,538.1,271,73,178,20,27,,.926
,Brooklyn Cyclones,SAL,A(Short),DH,3,3,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,3B,7,7,60.1,18,6,10,2,0,,.889
,6 Teams,,Minors,SS,429,423,3723.2,1908,572,1244,92,231,,.952
Career Minors,3 Teams,,,DH,13,13,0.0,0,0,0,0,0,,.000
