Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,302",54.4,311,287,84,63,10,7,4,49,240,.293,.291,.418,.439,.331,.343,91.0,5,19.8,16.4
2022,Breaking,894,37.3,286,278,71,56,8,2,5,50,230,.255,.263,.353,.350,.270,.278,86.5,5,23.1,19.2
2022,Offspeed,199,8.3,73,72,25,15,8,0,2,12,60,.347,.268,.542,.399,.386,.293,85.5,6,19.1,14.3
2021,Fastballs,"1,203",55.9,308,279,91,67,18,0,6,38,242,.326,.297,.455,.419,.366,.345,90.8,4,18.5,14.3
2021,Breaking,700,32.5,207,199,41,30,5,5,1,70,132,.206,.212,.296,.268,.222,.222,87.0,7,34.9,28.7
2021,Offspeed,248,11.5,70,69,21,15,2,1,3,12,57,.304,.302,.493,.441,.342,.328,84.8,8,26.7,16.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
