Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Kansas City Royals,MLB,Bases Empty,126,112,,19,5,0,1,1,14,20,,,0,.170,.262,.241,.503
Seattle Mariners,MLB,Bases Empty,159,148,,27,6,0,6,6,9,33,,,2,.182,.239,.345,.584
Seattle Mariners,MLB,Bases Loaded,8,7,,2,0,0,1,9,0,0,,,0,.286,.250,.714,.964
Kansas City Royals,MLB,Bases Loaded,6,6,,3,1,0,0,7,0,2,,,0,.500,.500,.667,1.167
Seattle Mariners,MLB,Runner at 1st,67,60,,14,1,0,6,12,7,15,,,0,.233,.313,.550,.863
Kansas City Royals,MLB,Runner at 1st,32,25,,9,2,0,3,7,7,1,,,0,.360,.500,.800,1.300
Seattle Mariners,MLB,Runners at 1st & 2nd,25,15,,2,1,0,1,5,10,4,,,0,.133,.480,.400,.880
Kansas City Royals,MLB,Runners at 1st & 2nd,21,14,,3,0,0,0,2,7,2,,,0,.214,.476,.214,.690
Seattle Mariners,MLB,Runners at 1st & 3rd,8,5,,1,0,0,0,2,2,1,,,0,.200,.375,.200,.575
Kansas City Royals,MLB,Runners at 1st & 3rd,2,1,,1,1,0,0,1,1,0,,,0,1.000,1.000,2.000,3.000
Seattle Mariners,MLB,Runner at 2nd,21,16,,2,0,0,1,3,5,6,,,0,.125,.333,.313,.646
Kansas City Royals,MLB,Runner at 2nd,18,13,,2,0,0,0,2,5,3,,,0,.154,.389,.154,.543
Kansas City Royals,MLB,Runners at 2nd & 3rd,3,1,,0,0,0,0,0,2,0,,,0,.000,.667,.000,.667
Seattle Mariners,MLB,Runners at 2nd & 3rd,1,1,,0,0,0,0,1,0,0,,,0,.000,.000,.000,.000
Kansas City Royals,MLB,Runner at 3rd,4,4,,1,1,0,0,1,0,0,,,0,.250,.250,.500,.750
Seattle Mariners,MLB,Runner at 3rd,5,3,,1,0,0,0,1,2,1,,,0,.333,.600,.333,.933
Seattle Mariners,MLB,Scoring Position,68,47,,8,1,0,3,21,19,12,,,0,.170,.397,.383,.780
Kansas City Royals,MLB,Scoring Position,54,39,,10,3,0,0,13,15,7,,,0,.256,.463,.333,.796
