Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Seattle Mariners,MLB,Batting Second,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Kansas City Royals,MLB,Batting Third,2,2,,0,0,0,0,0,0,1,,,0,.000,.000,.000,.000
Seattle Mariners,MLB,Batting Third,42,39,,4,2,0,0,4,2,12,,,0,.103,.143,.154,.297
Kansas City Royals,MLB,Batting Fourth,28,23,,2,0,0,0,2,5,4,,,0,.087,.250,.087,.337
Seattle Mariners,MLB,Batting Fourth,145,125,,27,3,0,11,24,17,24,,,2,.216,.317,.504,.821
Kansas City Royals,MLB,Batting Fifth,75,60,,10,4,0,1,6,15,9,,,0,.167,.333,.283,.616
Seattle Mariners,MLB,Batting Fifth,52,47,,10,1,0,1,4,5,15,,,0,.213,.288,.298,.586
Seattle Mariners,MLB,Batting Sixth,45,35,,7,2,0,3,5,10,8,,,0,.200,.378,.514,.892
Kansas City Royals,MLB,Batting Sixth,62,53,,18,4,0,2,8,9,8,,,0,.340,.435,.528,.963
Kansas City Royals,MLB,Batting Seventh,42,36,,7,2,0,1,5,6,6,,,0,.194,.310,.333,.643
Seattle Mariners,MLB,Batting Seventh,5,5,,1,0,0,0,2,0,0,,,0,.200,.200,.200,.400
Kansas City Royals,MLB,Batting Eighth,3,2,,1,0,0,0,0,1,0,,,0,.500,.667,.500,1.167
Seattle Mariners,MLB,Batting Ninth,4,3,,0,0,0,0,0,1,1,,,0,.000,.250,.000,.250
