Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,BAL,AL,2B,4,4,36.0,21,8,12,1,4,,.952
2014,BAL,AL,2B,123,112,1010.2,551,206,338,7,89,,.987
2014,BAL,AL,3B,17,14,133.2,41,13,24,4,0,,.902
2015,BAL,AL,2B,84,82,721.0,387,145,235,7,50,,.982
2016,BAL,AL,2B,162,162,1429.0,732,277,447,8,123,,.989
2017,BAL,AL,2B,159,158,1385.0,790,329,446,15,132,,.981
2017,BAL,AL,SS,5,2,19.0,15,1,14,0,3,,1.000
2018,BAL,AL,2B,85,84,752.0,415,147,260,8,69,,.981
2018,BAL,AL,SS,2,0,3.0,2,1,1,0,1,,1.000
2018,MIL,NL,2B,31,18,189.1,106,38,61,7,17,,.934
2018,MIL,NL,SS,15,11,71.1,38,13,24,1,4,,.974
2018,2 Teams,,2B,116,102,941.1,521,185,321,15,86,,.971
2018,2 Teams,,SS,17,11,74.1,40,14,25,1,5,,.975
2019,MIN,AL,2B,113,110,983.1,434,166,254,14,62,,.968
2019,MIN,AL,DH,4,3,0.0,0,0,0,0,0,,.000
2020,DET,AL,2B,44,44,355.2,174,60,113,1,25,,.994
2021,DET,AL,1B,114,103,905.2,891,826,58,7,79,,.992
2021,DET,AL,2B,38,38,313.1,183,85,95,3,26,,.984
2021,DET,AL,3B,1,0,1.0,1,0,1,0,1,,1.000
2021,DET,AL,DH,15,15,0.0,0,0,0,0,0,,.000
2022,DET,AL,1B,2,1,10.0,10,9,1,0,0,,1.000
2022,DET,AL,2B,129,127,1106.0,523,207,313,3,86,,.994
2022,DET,AL,DH,1,1,0.0,0,0,0,0,0,,.000
10 Seasons,4 Teams,,2B,972,939,8281.1,4316,1668,2574,74,683,,.983
,2 Teams,,3B,18,14,134.2,42,13,25,4,1,,.905
,2 Teams,,SS,22,13,93.1,55,15,39,1,8,,.982
,DET,AL,1B,116,104,915.2,901,835,59,7,79,,.992
,2 Teams,,DH,20,19,0.0,0,0,0,0,0,,.000
