Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-2.8,-17,619,34.6,173,.189,.264,.242,24.0,19.7,21.5,.224,.322,.272,45.7
2022,Slider,,-0.8,-4,488,27.3,141,.185,.356,.265,37.8,24.8,21.5,.226,.356,.270,33.0
2022,Sinker,,-0.9,-3,279,15.6,82,.260,.338,.288,13.4,7.3,13.6,.296,.408,.331,39.4
2022,Changeup,,-2.7,-4,156,8.7,54,.170,.358,.217,34.4,27.8,26.8,.166,.292,.203,33.3
2022,Curveball,,-1.0,-2,147,8.2,34,.206,.294,.218,30.1,35.3,24.0,.189,.238,.187,31.8
2022,Cutter,,-3.3,-3,82,4.6,19,.278,.333,.292,28.3,15.8,18.8,.238,.289,.257,26.7
2022,Splitter,,-3.0,0,14,0.8,3,.000,.000,.000,37.5,66.7,25.0,.036,.043,.035,100.0
2022,N/A,,-15.5,0,3,0.2,2,.000,.000,.000,0.0,0.0,--,.011,.012,.206,50.0
2021,4-Seamer,,0.3,2,949,36.7,216,.342,.482,.384,19.2,19.0,16.3,.252,.392,.302,41.0
2021,Slider,,-0.3,-2,582,22.5,161,.238,.437,.308,31.9,19.9,15.7,.277,.470,.337,40.0
2021,Sinker,,-0.6,-2,385,14.9,107,.237,.381,.310,11.4,7.5,11.0,.269,.385,.319,35.2
2021,Changeup,,0.3,1,255,9.9,78,.232,.377,.306,32.4,21.8,17.3,.256,.420,.334,40.7
2021,Curveball,,0.1,0,211,8.2,51,.188,.354,.275,38.8,39.2,21.1,.143,.231,.196,32.1
2021,Cutter,,3.7,6,165,6.4,46,.432,.591,.448,24.2,13.0,12.8,.362,.530,.398,57.9
2021,Splitter,,-3.1,-1,36,1.4,14,.143,.214,.154,37.5,57.1,34.8,.156,.175,.147,16.7
2021,N/A,,-3.3,0,5,0.2,1,.000,.000,.000,50.0,100.0,100.0,--,--,.000,--
2020,4-Seamer,,1.9,4,196,31.4,49,.318,.523,.399,24.5,24.5,20.7,.245,.372,.294,39.4
2020,Slider,,-2.4,-4,160,25.6,41,.135,.297,.254,41.1,31.7,22.0,.166,.281,.244,20.8
2020,Sinker,,3.0,3,103,16.5,36,.441,.676,.494,9.8,8.3,21.4,.377,.548,.415,41.9
2020,Curveball,,4.5,3,61,9.8,21,.263,.579,.448,32.4,28.6,22.2,.219,.409,.310,38.5
2020,Cutter,,-6.7,-4,57,9.1,16,.067,.067,.056,28.6,18.8,25.0,.132,.204,.160,30.8
2020,Changeup,,7.6,3,42,6.7,13,.417,.667,.554,27.6,15.4,13.3,.247,.512,.349,20.0
2020,N/A,,-3.7,0,3,0.5,1,.000,.000,.000,0.0,0.0,--,.520,.624,.509,0.0
2020,Splitter,,7.0,0,2,0.3,,--,--,--,--,--,--,--,--,--,--
2019,4-Seamer,,-2.0,-11,516,30.7,131,.233,.336,.298,24.8,18.3,16.8,.252,.416,.329,33.7
2019,Slider,,2.0,8,384,22.8,97,.255,.585,.360,39.5,29.9,20.7,.220,.450,.291,40.0
2019,Sinker,,-2.2,-7,297,17.7,92,.233,.326,.282,23.3,14.1,22.8,.271,.387,.310,38.4
2019,Changeup,,0.6,1,180,10.7,51,.300,.600,.385,41.7,39.2,31.3,.289,.558,.357,53.3
2019,Curveball,,1.8,3,149,8.9,45,.273,.614,.377,44.8,37.8,38.6,.198,.424,.267,44.4
2019,Cutter,,5.0,6,111,6.6,38,.333,.694,.451,29.9,21.1,29.6,.313,.513,.353,31.0
2019,Splitter,,-5.0,-1,19,1.1,4,.000,.000,.175,30.8,50.0,28.6,.035,.040,.198,0.0
2018,4-Seamer,,-2.1,-13,620,35.1,158,.194,.292,.246,21.0,20.3,19.6,.203,.281,.248,28.1
2018,Sinker,,-0.7,-2,322,18.2,104,.305,.474,.371,18.9,14.4,21.7,.260,.394,.308,25.6
2018,Slider,,-0.7,-2,316,17.9,101,.178,.337,.234,43.3,30.7,31.0,.223,.352,.254,41.4
2018,Curveball,,0.2,0,192,10.9,43,.214,.381,.263,34.0,37.2,22.2,.175,.245,.195,23.1
2018,Changeup,,-2.4,-4,168,9.5,51,.180,.400,.224,35.7,19.6,21.7,.187,.312,.216,26.8
2018,Cutter,,8.9,8,95,5.4,27,.519,1.222,.724,23.9,18.5,29.4,.359,.760,.472,36.4
2018,Splitter,,-0.6,0,38,2.2,9,.222,.333,.239,40.9,55.6,29.4,.187,.240,.187,50.0
2018,Knuckleball,,0.1,0,14,0.8,5,.250,1.000,.540,0.0,0.0,0.0,.491,1.120,.678,50.0
2017,4-Seamer,,0.4,3,859,33.8,195,.294,.441,.350,21.1,17.9,14.6,.289,.458,.352,37.5
2017,Sinker,,0.9,4,477,18.8,146,.341,.533,.391,12.7,7.5,12.6,.319,.506,.367,35.7
2017,Slider,,-0.3,-2,469,18.4,125,.198,.319,.258,46.4,34.4,25.6,.160,.223,.200,24.3
2017,Curveball,,2.4,7,277,10.9,74,.324,.577,.397,37.9,41.9,24.6,.248,.390,.286,52.5
2017,Changeup,,2.6,7,262,10.3,68,.270,.667,.453,32.5,17.6,13.5,.286,.593,.384,34.6
2017,Cutter,,0.6,1,131,5.1,43,.263,.421,.342,27.1,16.3,26.9,.306,.479,.398,40.6
2017,Splitter,,8.9,4,48,1.9,16,.429,1.214,.675,34.5,18.8,17.6,.319,.629,.435,45.5
2017,Knuckleball,,27.3,1,4,0.2,2,1.000,2.500,1.450,0.0,0.0,--,.508,1.349,.758,100.0
