Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Philadelphia Phillies,MLB,First Inning,134,120,18,23,5,1,7,7,14,39,2,1,0,.192,.276,.425,.701
Philadelphia Phillies,MLB,Second Inning,52,46,8,11,3,0,2,7,6,15,0,0,0,.239,.327,.435,.762
Philadelphia Phillies,MLB,Third Inning,93,75,16,18,2,0,6,13,16,28,2,0,2,.240,.387,.507,.894
Philadelphia Phillies,MLB,Fourth Inning,56,47,15,11,1,0,9,14,9,10,1,0,0,.234,.357,.830,1.187
Philadelphia Phillies,MLB,Fifth Inning,87,71,10,17,5,0,2,10,14,26,3,0,1,.239,.368,.394,.762
Philadelphia Phillies,MLB,Sixth Inning,60,53,11,12,1,0,9,16,6,23,0,0,0,.226,.300,.755,1.055
Philadelphia Phillies,MLB,Seventh Inning,85,75,8,15,2,1,4,11,9,25,1,0,1,.200,.294,.413,.707
Philadelphia Phillies,MLB,Eighth Inning,53,46,10,14,0,1,6,14,7,19,1,0,0,.304,.396,.739,1.135
Philadelphia Phillies,MLB,Ninth Inning,45,42,3,5,2,0,1,2,3,15,0,0,0,.119,.178,.238,.416
Philadelphia Phillies,MLB,Extra Innings,4,2,1,0,0,0,0,0,2,0,0,0,0,.000,.500,.000,.500
