Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,CHC,NL,C,21,15,136.0,121,110,7,4,1,,.967
2015,CHC,NL,LF,41,36,295.2,44,42,1,1,0,,.977
2015,CHC,NL,RF,4,2,14.0,3,3,0,0,0,,1.000
2015,CHC,NL,DH,6,6,0.0,0,0,0,0,0,,.000
2016,CHC,NL,LF,2,2,7.2,1,1,0,0,0,,1.000
2017,CHC,NL,C,4,0,7.0,9,9,0,0,0,,1.000
2017,CHC,NL,1B,1,0,0.0,0,0,0,0,0,,.000
2017,CHC,NL,LF,110,101,821.0,153,141,7,5,1,,.967
2017,CHC,NL,DH,8,8,0.0,0,0,0,0,0,,.000
2018,CHC,NL,LF,120,115,943.2,186,174,11,1,0,,.995
2018,CHC,NL,DH,6,6,0.0,0,0,0,0,0,,.000
2019,CHC,NL,C,1,0,1.0,1,1,0,0,0,,1.000
2019,CHC,NL,LF,140,137,1156.2,227,214,7,6,0,,.974
2019,CHC,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2020,CHC,NL,LF,48,48,363.1,73,70,3,0,0,,1.000
2020,CHC,NL,DH,9,8,0.0,0,0,0,0,0,,.000
2021,WSH,NL,LF,72,72,600.1,133,127,3,3,1,,.977
2021,BOS,AL,1B,10,9,75.0,67,65,1,1,8,,.985
2021,BOS,AL,LF,15,14,123.2,24,23,1,0,2,,1.000
2021,BOS,AL,DH,14,14,0.0,0,0,0,0,0,,.000
2021,2 Teams,,LF,87,86,724.0,157,150,4,3,3,,.981
2022,PHI,NL,LF,139,138,1167.0,186,182,3,1,0,,.995
2022,PHI,NL,DH,15,15,0.0,0,0,0,0,0,,.000
8 Seasons,2 Teams,,1B,11,9,75.0,67,65,1,1,8,,.985
,4 Teams,,LF,687,663,5479.0,1027,974,36,17,4,,.983
,3 Teams,,DH,60,59,0.0,0,0,0,0,0,,.000
,CHC,NL,C,26,15,144.0,131,120,7,4,1,,.969
,CHC,NL,RF,4,2,14.0,3,3,0,0,0,,1.000
