Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Texas Rangers,MLB,First Inning,151,141,20,37,5,0,6,12,7,32,1,0,3,.262,.311,.426,.737
Texas Rangers,MLB,Second Inning,18,13,2,3,2,0,0,4,4,0,0,0,0,.231,.389,.385,.774
Texas Rangers,MLB,Third Inning,91,87,9,19,3,1,4,12,4,12,0,0,0,.218,.253,.414,.667
Texas Rangers,MLB,Fourth Inning,63,51,7,7,1,0,3,8,12,11,0,0,0,.137,.302,.333,.635
Texas Rangers,MLB,Fifth Inning,69,59,13,16,4,0,5,15,6,10,1,0,1,.271,.333,.593,.926
Texas Rangers,MLB,Sixth Inning,79,71,10,16,3,0,5,9,6,14,0,0,2,.225,.304,.479,.783
Texas Rangers,MLB,Seventh Inning,52,48,6,12,1,0,1,5,4,6,1,0,0,.250,.308,.333,.641
Texas Rangers,MLB,Eighth Inning,83,73,14,19,5,0,4,9,8,10,0,0,1,.260,.337,.493,.830
Texas Rangers,MLB,Ninth Inning,46,41,7,14,0,0,5,7,5,5,0,0,0,.341,.413,.707,1.120
Texas Rangers,MLB,Extra Innings,11,9,3,2,0,0,0,2,2,3,0,0,0,.222,.364,.222,.586
