Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,073",47.3,317,282,72,37,12,1,22,41,244,.255,.308,.539,.589,.370,.415,92.6,14,20.9,16.7
2022,Breaking,771,34.0,220,199,46,27,10,0,9,40,160,.231,.256,.417,.457,.314,.345,89.9,17,32.1,16.8
2022,Offspeed,424,18.7,119,112,27,23,2,0,2,22,91,.241,.271,.313,.402,.262,.309,89.2,5,30.9,17.9
2021,Fastballs,665,47.6,186,153,56,34,12,1,9,28,127,.366,.329,.634,.606,.462,.442,93.8,14,22.5,16.0
2021,Breaking,467,33.5,139,124,31,18,6,1,6,23,102,.250,.266,.460,.516,.336,.369,89.3,8,33.6,20.7
2021,Offspeed,264,18.9,82,76,21,15,4,1,1,15,61,.276,.273,.395,.400,.316,.319,88.1,7,31.0,21.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
