Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Nashville Sounds,Triple-A,Bases Empty,4,4,,1,0,0,1,1,0,0,,,0,.250,.250,1.000,1.250
Stockton Ports,Class A Advanced,Bases Empty,12,12,,5,3,0,1,1,0,1,,,0,.417,.417,.917,1.334
Stockton Ports,Class A Advanced,Bases Loaded,2,2,,1,0,0,0,1,0,0,,,0,.500,.500,.500,1.000
Nashville Sounds,Triple-A,Runner at 1st,6,6,,2,0,0,0,0,0,0,,,0,.333,.333,.333,.666
Stockton Ports,Class A Advanced,Runner at 1st,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Stockton Ports,Class A Advanced,Runners at 1st & 2nd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Runners at 1st & 3rd,1,1,,0,0,0,0,0,0,1,,,0,.000,.000,.000,.000
Stockton Ports,Class A Advanced,Runners at 1st & 3rd,1,0,,0,0,0,0,1,0,0,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Runner at 2nd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Runners at 2nd & 3rd,1,1,,1,0,0,0,2,0,0,,,0,1.000,1.000,1.000,2.000
Stockton Ports,Class A Advanced,Runners at 2nd & 3rd,1,0,,0,0,0,0,1,0,0,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Runner at 3rd,2,1,,0,0,0,0,0,1,0,,,0,.000,.500,.000,.500
Stockton Ports,Class A Advanced,Runner at 3rd,2,1,,0,0,0,0,1,0,1,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Scoring Position,5,4,,1,0,0,0,2,1,1,,,0,.250,.400,.250,.650
Stockton Ports,Class A Advanced,Scoring Position,7,4,,1,0,0,0,4,0,1,,,0,.250,.143,.250,.393
