 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,64,15.1,46.9%,1.6%,62,21.0,0.0%,9.7%
2014,,329,15.3,47.7%,0.9%,216,22.9,1.9%,13.9%
2015,,684,16.0,41.4%,3.1%,471,22.2,10.2%,16.8%
2016,,765,16.4,38.4%,3.0%,485,21.4,8.2%,12.8%
2017,,479,15.2,48.2%,0.4%,292,21.1,2.1%,8.9%
2018,,970,15.6,42.3%,1.2%,460,20.9,3.0%,8.5%
2019,,1125,15.7,39.9%,1.7%,401,22.0,1.2%,12.0%
2020,,304,16.8,26.6%,3.0%,180,22.0,0.6%,9.4%
2021,,923,16.2,36.3%,1.3%,497,21.8,2.0%,10.1%
2022,,917,16.3,35.8%,1.2%,390,22.1,1.0%,11.8%
