Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Oklahoma City Dodgers,Triple-A,First Inning,55,46,12,12,2,1,5,8,7,12,0,0,2,.261,.382,.674,1.056
Oklahoma City Dodgers,Triple-A,Second Inning,17,14,2,3,0,0,2,6,2,3,0,0,0,.214,.294,.643,.937
Oklahoma City Dodgers,Triple-A,Third Inning,34,27,5,6,0,0,3,7,7,5,0,0,0,.222,.382,.556,.938
Oklahoma City Dodgers,Triple-A,Fourth Inning,32,23,7,12,3,1,3,10,7,1,0,0,0,.522,.594,1.130,1.724
Oklahoma City Dodgers,Triple-A,Fifth Inning,23,20,6,6,2,0,2,5,3,2,0,0,0,.300,.391,.700,1.091
Oklahoma City Dodgers,Triple-A,Sixth Inning,38,32,3,7,2,0,0,2,5,5,0,0,1,.219,.342,.281,.623
Oklahoma City Dodgers,Triple-A,Seventh Inning,22,19,5,5,2,0,1,7,3,6,0,0,0,.263,.364,.526,.890
Oklahoma City Dodgers,Triple-A,Eighth Inning,31,28,5,7,0,0,3,5,3,9,1,0,0,.250,.323,.571,.894
Oklahoma City Dodgers,Triple-A,Ninth Inning,16,13,2,1,0,0,1,3,3,5,0,0,0,.077,.250,.308,.558
Oklahoma City Dodgers,Triple-A,Extra Innings,2,2,1,1,0,0,0,1,0,1,0,0,0,.500,.500,.500,1.000
